account_name,account_type,hq_city,hq_state,website_domain,fund_or_aum,verticals_active,states_active,platform_count,texas_exposure,sponsor_parent,trigger_type,trigger_date,trigger_source_url,contact_name,contact_title,verification,primary_source_url,last_checked,notes,tier,stage,source_key
Lang Partners,P2_FAMILY_OFFICE,Dallas,TX,,,other,TX,10,yes,,NONE,,,,,DISCOVERY,https://www.axial.net/company/lang-partners,2026-08-17,RE development firm and family office. Service Star Brands (home-services franchising).,3,Not reviewed,P2-017
MasGroup,P2_FAMILY_OFFICE,,,,,roofing,CO,1,unknown,,T3,2026-04-02,https://www.citybiz.co/article/827996/superior-roofing-completes-ownership-transition/,Juan Carlos Mas,Principal,DISCOVERY,https://www.citybiz.co/article/827996/superior-roofing-completes-ownership-transition/,2026-08-17,"Strategic single-family office. Investor in Superior Roofing (Aurora, CO). HQ/domain not verified.",1,Not reviewed,P2-018
Mason Wells,P2_FAMILY_OFFICE,Milwaukee,WI,masonwells.com,,utility_services,,20,unknown,,NONE,,,,,DISCOVERY,https://www.masonwells.com/,2026-08-17,"Midwest family-and-institutional capital; waste and water management. Family-capital-adjacent, not a pure SFO.",3,Not reviewed,P2-019
Matbridge Investments Ltd.,P2_FAMILY_OFFICE,,,,,energy_services|utility_services,,10,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/matbridge-investments-ltd,2026-08-17,Diversified family investment firm. Subterra Renewables (geothermal/energy services).,3,Not reviewed,P2-020
Nobel Investments,P2_FAMILY_OFFICE,Santa Monica,CA,,,other,,2,unknown,,NONE,,,Atta Tarki,Founder,DISCOVERY,https://www.axial.net/company/nobel-investments,2026-08-17,Family investment office; owner/operators of acquired businesses.,3,Not reviewed,P2-021
NorthCurrent Partners,P2_FAMILY_OFFICE,,,,,residential_hvac|residential_plumbing|residential_electrical,TX|FL,1,yes,,T3,2025-12-01,https://www.axial.net/company/northcurrent-partners,,,DISCOVERY,https://www.axial.net/company/northcurrent-partners,2026-08-17,CONFLICT ON TYPE: self-describes as extension of a family office but operates as sponsor; tagged P3 in an earlier run. Backs Liberty Service Partners (Dallas). 25 closed deals.,1,Not reviewed,P2-022
Northwoods Partners,P2_FAMILY_OFFICE,,,,,facilities_services,,4,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/northwoods-partners,2026-08-17,Built from ImageFIRST (Berstein family) team; services roll-up expertise.,3,Not reviewed,P2-023
Pearl Street Capital Partners,P2_FAMILY_OFFICE,,,,,industrial_services|roofing|residential_hvac,FL|MI|OH|IL|MN,4,unknown,,T3,2026-01-01,https://www.axial.net/company/pearl-street-capital-partners,,,DISCOVERY,https://www.axial.net/company/pearl-street-capital-partners,2026-08-17,Committed capital from two family offices; $1-7M EBITDA. Backs Aligned Exteriors Group and Panther Service Group. AMBIGUOUS FO/IS hybrid.,1,Not reviewed,P2-024
Pohlad Companies,P2_FAMILY_OFFICE,Minneapolis,MN,pohladcompanies.com,,other,,,unknown,,NONE,,,,,DISCOVERY,https://pim.pohladcompanies.com/,2026-08-17,Confirmed direct-investing family office; NO in-scope vertical deal verified. Thesis-fit lead only.,3,Not reviewed,P2-025
Preservation Holdings LLC,P2_FAMILY_OFFICE,Dallas,TX,,,residential_hvac|residential_plumbing,TX|OK,2,yes,,T3,2022-07-01,https://www.axial.net/company/preservation-holdings-llc,,,DISCOVERY,https://www.axial.net/company/preservation-holdings-llc,2026-08-17,"Group of DFW family offices; permanent capital, no mandate to return capital. Air Assurance, HomeTown Services (2022).",3,Not reviewed,P2-026
Pritzker Private Capital,P2_FAMILY_OFFICE,Chicago,IL,ppcpartners.com,$3.4B (PPC IV final close 2025-08-19),landscaping|facilities_services|industrial_services,,31,unknown,,T2,2025-08-19,,Eric Kieras,Investment Partner,VERIFIED,https://www.ppcpartners.com/,2026-08-17,"31 platforms, 110+ add-ons, >$10B deployed. HeartLand (commercial landscaping).",1,Not reviewed,P2-027
Progeny 3,P2_FAMILY_OFFICE,Kirkland,WA,,,energy_services,,1,unknown,,T3,2026-04-15,https://www.morningstar.com/news/business-wire/20260414818602/,Danny Knight,Portfolio Manager,DISCOVERY,https://www.morningstar.com/news/business-wire/20260414818602/,2026-08-17,SFO. Equity in Cadre Energy Solutions (contract gas compression) Apr 2026. Domain not verified.,1,Not reviewed,P2-028
Pulte Capital Partners LLC,P2_FAMILY_OFFICE,,,,,residential_hvac,,2,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/pulte-capital-partners-llc,2026-08-17,Building-products family capital; Advanced Air Conditioning & Heating (2013).,3,Not reviewed,P2-029
Rhino Ventures LLC,P2_FAMILY_OFFICE,Dallas,TX,,,industrial_services|utility_services,TX,1,yes,,NONE,,,Ken Manning,Principal,DISCOVERY,https://www.axial.net/company/rhino-ventures-llc,2026-08-17,"SFO formed 2016 via ~$230M sale of Curaspan Health. Thesis: always-needed infrastructure/specialty trades, mostly Texas.",3,Not reviewed,P2-030
Rising Ventures Group LLC,P2_FAMILY_OFFICE,,,,,other,,5,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/rising-ventures-group-llc,2026-08-17,"Family-run investor across CPG, retail, healthcare, manufacturing, distribution.",3,Not reviewed,P2-031
Rosewood Private Investments,P2_FAMILY_OFFICE,Dallas,TX,,,industrial_services,TX,20,yes,,NONE,,,Derry Burns,Director,DISCOVERY,https://www.axial.net/company/rosewood-private-investments,2026-08-17,"PE arm of The Rosewood Corporation (Caroline Hunt Trust Estate), evergreen.",3,Not reviewed,P2-032
Schultz Brothers Holdings,P2_FAMILY_OFFICE,,TX,,,industrial_services|energy_services,TX,2,yes,,NONE,,,,,DISCOVERY,https://www.axial.net/company/schultz-brothers-holdings,2026-08-17,"Texas family holding co; $1-5M EBITDA industrials, energy, business services.",3,Not reviewed,P2-033
SIG Partners,P2_FAMILY_OFFICE,Dallas,TX,sigpartners.com,,residential_hvac,TX,,yes,,T3,2026-01-01,https://www.axial.net/company/sig-partners,,,DISCOVERY,https://www.axial.net/company/sig-partners,2026-08-17,"30+ companies in 6 years, operator model, 90-100% cash to close. Snipps Heating & Air Jan 2026.",1,Not reviewed,P2-034
"StoneCalibre, LLC",P2_FAMILY_OFFICE,Los Angeles,CA,,,industrial_services,,11,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/stonecalibre-llc,2026-08-17,36 companies via 7 platforms; corporate divestitures/buy-and-builds.,3,Not reviewed,P2-035
Sunny River Management (SRM Equity Partners),P2_FAMILY_OFFICE,Atlanta,GA,sunnyrivermanagement.com,,fire_life_safety|commercial_hvac,TX,2,yes,,T3,2025-01-01,https://www.pehub.com/sunny-river-owned-fsp-acquires-allard-fire-protection/,John Cote,Managing Partner,VERIFIED,https://firesp.com/news/fire-safety-protection-acquires-livingston-fire-protection-inc/,2026-08-17,"Private family investment firm. Built Fire Safety & Protection (FSP), 8+ acquisitions. Also Palmetto Air & Water Balance (Abilene/Fort Worth/Lubbock).",3,Not reviewed,P2-036
The Arnold Companies,P2_FAMILY_OFFICE,Dallas,TX,,,energy_services,TX,7,yes,,NONE,,,,,DISCOVERY,https://www.axial.net/company/the-arnold-companies,2026-08-17,"Dallas family investment firm; refined-petroleum distribution roots, aviation, RE.",3,Not reviewed,P2-037
The Brydon Group,P2_FAMILY_OFFICE,Washington,DC,brydon.com,$570M+ total fund AUM (2025-12-31),facilities_services,,,unknown,,NONE,,,,,VERIFIED,https://www.brydon.com/portfolio,2026-08-17,Veteran-founded operator-led permanent capital. 46 acquisitions as of 2026-03-10. $1-5M EBITDA recurring revenue.,3,Not reviewed,P2-038
Thrive Five,P2_FAMILY_OFFICE,,TX,,,other,TX,6,yes,,NONE,,,,,DISCOVERY,https://www.axial.net/company/thrive-five,2026-08-17,SFO; healthcare and outdoor building products.,3,Not reviewed,P2-039
Tillery Capital,P2_FAMILY_OFFICE,Charlotte,NC,tillerycapital.com,,industrial_services|facilities_services,,,unknown,,NONE,,,,,DISCOVERY,https://tillerycapital.com/,2026-08-17,Family-office-structured; LMM companies >$2M EBITDA.,3,Not reviewed,P2-040
Treaty Oak Equity,P2_FAMILY_OFFICE,Austin,TX,,,residential_hvac|residential_plumbing|residential_electrical,TX,6,yes,,T3,2024-01-01,https://www.axial.net/company/treaty-oak-equity,,,DISCOVERY,https://www.axial.net/company/treaty-oak-equity,2026-08-17,Commitments from two Texas family offices. Held Stan's Heating Air Plumbing & Electrical and Wagner Mechanical (Austin); sold to The Master Trades Group 2024.,3,Not reviewed,P2-041
Align Collaborate,P3_INDEPENDENT_SPONSOR,Dallas,TX,aligncollaborate.com,Fund I $233M (2025-03),commercial_electrical,KS,1,yes,,T2,2025-03-01,https://aligncollaborate.com/news/align-collaborate-supports-ix-capital-partners-with-growth-investment-in-teague-electric/,Grant Kornman,Partner,VERIFIED,https://aligncollaborate.com/news/align-collaborate-supports-ix-capital-partners-with-growth-investment-in-teague-electric/,2026-08-17,"Equity partner FOR independent sponsors, not itself fundless. Capital-source node - route sponsors here.",2,Not reviewed,P3-001
"Amalgam Capital, LLC",P3_INDEPENDENT_SPONSOR,,,,,commercial_hvac|commercial_mep,VA,1,unknown,MechanAir,T3,2024-10-01,https://www.axial.net/company/amalgam-capital-llc,,,DISCOVERY,https://www.axial.net/company/amalgam-capital-llc,2026-08-17,"Operator-led IS. Core Mechanical (2024), State Mechanical (2021), Hampton Roads Mechanical (2021) forming MechanAir with Delos Capital.",3,Not reviewed,P3-002
American Growth Partners,P3_INDEPENDENT_SPONSOR,,CA,american-gp.com,,industrial_services,,0,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/american-growth-partners,2026-08-17,N. California investor-operators; services and industrial $1M+ EBITDA. No reported closed deals.,3,Not reviewed,P3-003
Astara Capital Partners,P3_INDEPENDENT_SPONSOR,New York,NY,astaracapital.com,Astara Capital Fund I,residential_hvac|residential_plumbing|residential_electrical,FL,1,unknown,Del-Air,T3,2025-01-01,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,Michael Ranson,Managing Partner,VERIFIED,https://www.prnewswire.com/news-releases/astara-capital-partners-completes-investment-in-del-air-heating-and-air-conditioning-301670657.html,2026-08-17,AMBIGUOUS: Del-Air made from committed Fund I - arguably P1_PE not fundless. Flagged.,3,Not reviewed,P3-004
Ballard & Brown,P3_INDEPENDENT_SPONSOR,Henderson,NV,,,residential_hvac,NV,1,unknown,,T3,2023-12-29,https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada,Matt Ballard,Partner,DISCOVERY,https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada,2026-08-17,"Sunrise Mechanical/Sunrise Service (Henderson NV, 150+ employees), $21M Columbia Pacific senior secured term loan.",3,Not reviewed,P3-005
BaseCamp Equity Partners,P3_INDEPENDENT_SPONSOR,,,basecampequity.com,,roofing,CO,1,unknown,,T3,2026-04-02,https://www.citybiz.co/article/827996/superior-roofing-completes-ownership-transition/,,,DISCOVERY,https://www.citybiz.co/article/827996/superior-roofing-completes-ownership-transition/,2026-08-17,Co-lead investor in Superior Roofing (CO) with MasGroup Apr 2026. HQ not verified.,2,Not reviewed,P3-006
Black Dune,P3_INDEPENDENT_SPONSOR,,,,,industrial_services|facilities_services,,,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/black-dune,2026-08-17,"LMM B2B commercial and industrial services, specialty distribution; multi-site buy-and-build.",3,Not reviewed,P3-007
Boudrow Capital,P3_INDEPENDENT_SPONSOR,,,,,facilities_services,,0,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/boudrow-capital,2026-08-17,B2B service businesses with recurring revenue in New England. No reported closed deals.,3,Not reviewed,P3-008
Broadwing Capital,P3_INDEPENDENT_SPONSOR,Dallas,TX,,,industrial_services|commercial_mep,TX,3,yes,,T3,2024-09-12,https://www.axial.net/company/broadwing-capital,Eliot Kerlin Jr.,Managing Partner,DISCOVERY,https://www.axial.net/company/broadwing-capital,2026-08-17,CONFLICT ON TYPE: tagged P1_PE in an earlier run. Dallas. Upchurch Services; Weldon Services (DFW-area MEP) add-on 2024.,3,Not reviewed,P3-009
Caravel Capital LLC,P3_INDEPENDENT_SPONSOR,,,,,landscaping,GA,4,unknown,,T3,2026-04-01,https://www.axial.net/company/caravel-capital-llc,,,DISCOVERY,https://www.axial.net/company/caravel-capital-llc,2026-08-17,"Tree-service roll-up: Thornton's, Big Ben's, Georgia Tree, Holcomb (2025-2026).",2,Not reviewed,P3-010
Clavis Capital Partners,P3_INDEPENDENT_SPONSOR,,,,,industrial_services,,,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/clavis-capital-partners,2026-08-17,Operator-led; manufacturing and industrial services >$3M EBITDA.,3,Not reviewed,P3-011
Confluence Point Holdings,P3_INDEPENDENT_SPONSOR,Greenwich,CT,confluencepoint.com,,roofing,NY|CT|NJ,1,unknown,Eastern Exterior Partners,T3,2025-06-03,https://www.prnewswire.com/news-releases/confluence-point-acquires-perrys-roofing-launches-eastern-exterior-partners-302470946.html,Doug Behrman,Co-founder,VERIFIED,https://www.prnewswire.com/news-releases/confluence-point-acquires-perrys-roofing-launches-eastern-exterior-partners-302470946.html,2026-08-17,Perry's Roofing acquisition launched Eastern Exterior Partners Jun 2025. Targets $1-7M EBITDA.,2,Not reviewed,P3-012
Cresthaven Capital,P3_INDEPENDENT_SPONSOR,,,,,facilities_services|utility_services|industrial_services,,,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/cresthaven-capital,2026-08-17,"Permanent-capital IS; facilities services, gov/defense contracting, $1-25M+ EBITDA.",3,Not reviewed,P3-013
Dark Matter,P3_INDEPENDENT_SPONSOR,,,,,industrial_services,,,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/dark-matter,2026-08-17,Balance-sheet plus external capital; control positions US/Canada. AMBIGUOUS FO/IS hybrid.,3,Not reviewed,P3-014
Del Monte Capital,P3_INDEPENDENT_SPONSOR,Houston,TX,,,fire_life_safety|elevator|industrial_services|utility_services,TX,3,yes,,T3,2026-03-01,https://www.axial.net/company/del-monte-capital,,,DISCOVERY,https://www.axial.net/company/del-monte-capital,2026-08-17,"Texas LMM sponsor est. 2023. DLG Infrastructure Services (2026), Stratos Elevator + Integrity Elevator (2024).",2,Not reviewed,P3-015
Evolution Strategy Partners,P3_INDEPENDENT_SPONSOR,Chicago,IL,,,commercial_electrical|landscaping,TX,2,yes,,T3,2024-03-01,https://www.axial.net/company/evolution-strategy,,,DISCOVERY,https://www.axial.net/company/evolution-strategy,2026-08-17,Amped Electric (2024) and Houston Landscapes Unlimited (2024).,3,Not reviewed,P3-016
Foundation Investment Partners,P3_INDEPENDENT_SPONSOR,,,,,industrial_services,,,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/foundation-investment-partners,2026-08-17,"Niche manufacturers, value-added distributors, outsourced business services.",3,Not reviewed,P3-017
Good Springs Capital,P3_INDEPENDENT_SPONSOR,Fayetteville,AR,,,commercial_hvac|commercial_plumbing|commercial_mep|residential_plumbing,NJ|TX,2,yes,,T3,2025-01-01,https://www.privsource.com/acquisitions/hvac-mechanical/2025,,,DISCOVERY,https://www.privsource.com/acquisitions/hvac-mechanical/2025,2026-08-17,"CONFLICT ON TYPE: tagged P1_PE in an earlier run. Falasca Mechanical (NJ); Kimbel Mechanical Systems with Gibson Plumbing (San Antonio, DFW footprint).",3,Not reviewed,P3-018
Green Heron Partners,P3_INDEPENDENT_SPONSOR,Houston,TX,greenheronpartners.com,,commercial_plumbing|facilities_services,TX,1,yes,,T3,2026-02-23,https://www.prnewswire.com/news-releases/green-heron-partners-announces-strategic-investment-in-regency-plumbing-contractors-302694264.html,Houston Johnson,Managing Partner,VERIFIED,https://www.prnewswire.com/news-releases/green-heron-partners-announces-strategic-investment-in-regency-plumbing-contractors-302694264.html,2026-08-17,Confirmed fundless (Aviara placement agent). Regency Plumbing (Houston) Feb 2026.,2,Not reviewed,P3-019
Hillstar Capital,P3_INDEPENDENT_SPONSOR,,,,,industrial_services|commercial_electrical,TX,3,yes,,NONE,,,,,DISCOVERY,https://www.axial.net/company/hillstar-capital,2026-08-17,"Patriot Erectors, OneCor Services, RBD Construction.",3,Not reviewed,P3-020
House Rock Capital Partners,P3_INDEPENDENT_SPONSOR,,,,,industrial_services,,2,unknown,,NONE,,,Bobby Anderson,Founder,DISCOVERY,https://www.axial.net/company/house-rock-capital-partners-llc,2026-08-17,"Operator-led; manufacturing platforms $10-100M revenue, $53M+ deployed.",3,Not reviewed,P3-021
IX Capital Partners,P3_INDEPENDENT_SPONSOR,Overland Park,KS,ix-partners.com,,commercial_electrical|utility_services,KS,1,unknown,Teague Electric,T3,2025-05-15,https://www.businesswire.com/news/home/20250515946305/en/,Julian Buegers,Partner,VERIFIED,https://www.businesswire.com/news/home/20250515946305/en/,2026-08-17,PitchBook-labeled fundless sponsor. Teague Electric (KC) May 2025 with Align Collaborate equity.,2,Not reviewed,P3-022
Kissel Capital LLC,P3_INDEPENDENT_SPONSOR,,IN,,,fire_life_safety|industrial_services,,3,unknown,,T3,2025-11-01,https://www.axial.net/company/kissel-capital-llc,,,DISCOVERY,https://www.axial.net/company/kissel-capital-llc,2026-08-17,"Indiana IS, industrial $2-6M EBITDA. Safety Boss. AMBIGUOUS: ex-committed-fund, MBO orientation.",2,Not reviewed,P3-023
Marigny Investments LLC,P3_INDEPENDENT_SPONSOR,Denver,CO,,,other,,2,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/marigny-investments-llc,2026-08-17,"B2B services and light manufacturing, $1-5M EBITDA.",3,Not reviewed,P3-024
Milton Street Capital,P3_INDEPENDENT_SPONSOR,Dallas,TX,,,commercial_mep,TX,1,yes,PurgeRite,T3,2023-10-04,https://www.privsource.com/,,,DISCOVERY,https://www.privsource.com/,2026-08-17,"PurgeRite (mechanical flushing/filtration, data-center end-market), majority recap Oct 2023.",3,Not reviewed,P3-025
Narrow River Capital,P3_INDEPENDENT_SPONSOR,,,,,industrial_services,,,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/forum/companies/industrial-machinery-equipment-independent-sponsors/29/,2026-08-17,"Industrial services in fragmented markets, recurring revenue/essential-service models. Founder ex-CVC/Apollo.",3,Not reviewed,P3-026
Red River Equity Partners,P3_INDEPENDENT_SPONSOR,Dallas,TX,,,industrial_services,TX,1,yes,,T3,2024-02-01,https://www.axial.net/company/red-river-equity-partners,,,DISCOVERY,https://www.axial.net/company/red-river-equity-partners,2026-08-17,Dallas IS. 1888 Industrial Services (2024).,3,Not reviewed,P3-027
Rox Capital,P3_INDEPENDENT_SPONSOR,,,,,industrial_services,,2,unknown,,T3,2023-07-01,https://www.axial.net/company/rox-capital,,,DISCOVERY,https://www.axial.net/company/rox-capital,2026-08-17,"LMM $1.5-3M cash flow. Neil Technical Services, Scruggs Company.",3,Not reviewed,P3-028
Silver Peak Partners,P3_INDEPENDENT_SPONSOR,Denver,CO,,,utility_services|industrial_services,,2,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/silver-peak-partners,2026-08-17,"$2-15M EBITDA. CG Environmental, Rocky Mountain Excavating.",3,Not reviewed,P3-029
Sound Partners,P3_INDEPENDENT_SPONSOR,,,,,commercial_hvac,NV|CA|TX,1,yes,The Mechanical Group,NONE,,https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada,,,DISCOVERY,https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada,2026-08-17,"With Calico Group: Tradewinds Mechanical (Las Vegas), S&R Air Conditioning (LA), Climate Specialists (Austin) forming The Mechanical Group. trigger_date not established.",3,Not reviewed,P3-030
"Stuart Acquisitions, LLC",P3_INDEPENDENT_SPONSOR,,,,,facilities_services,,1,unknown,,T3,2025-07-01,https://www.axial.net/company/stuart-acquisitions-llc,,,DISCOVERY,https://www.axial.net/company/stuart-acquisitions-llc,2026-08-17,MBO/turnarounds/recaps; asset-light services. Pool-service roll-up 2025.,2,Not reviewed,P3-031
SubSplit Services Group,P3_INDEPENDENT_SPONSOR,,TX,,,commercial_mep,TX,1,yes,Stratus Systems,T3,2025-01-24,https://www.privsource.com/,,,DISCOVERY,https://www.privsource.com/,2026-08-17,"Permanent capital. Stratus Systems (Dallas, mechanical/high-purity piping) buyout Jan 2025.",3,Not reviewed,P3-032
Sundog Capital,P3_INDEPENDENT_SPONSOR,,,,,commercial_electrical|residential_electrical,,1,unknown,,T3,2022-04-01,https://www.axial.net/company/sundog-capital,,,DISCOVERY,https://www.axial.net/company/sundog-capital,2026-08-17,"Investor-operators; construction and contracting. Stryker Electrical, Bay Area Electric, Edge Electric (2022).",3,Not reviewed,P3-033
Swift Anchor Holdings,P3_INDEPENDENT_SPONSOR,,,,,industrial_services,,,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/swift-anchor-holdings,2026-08-17,"Backed by leading family offices; $3-25M EBITDA healthcare, business/industrial services, A&D.",3,Not reviewed,P3-034
Tenet,P3_INDEPENDENT_SPONSOR,,,,,industrial_services,,0,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/tenet,2026-08-17,Permanent-capital IS acquiring small essential-service businesses in compliance-driven skilled trades. No reported closed deals yet.,3,Not reviewed,P3-035
Thesis Capital Partners LLC,P3_INDEPENDENT_SPONSOR,,,,,other,,2,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/thesis-capital-partners-llc,2026-08-17,Operator-led; family-owned LMM buy-and-build.,3,Not reviewed,P3-036
Thornblade Capital,P3_INDEPENDENT_SPONSOR,,,,,other,,,unknown,,NONE,,,,,DISCOVERY,https://www.axial.net/company/thornblade-capital2,2026-08-17,IS/advisory for $3-50M revenue small businesses.,3,Not reviewed,P3-037
Timoneer Strategic Partners,P3_INDEPENDENT_SPONSOR,,,,,facilities_services,,1,unknown,,T3,2024-12-01,https://www.axial.net/company/timoneer-strategic-partners,,,DISCOVERY,https://www.axial.net/company/timoneer-strategic-partners,2026-08-17,"Restoration platform: DRC Restoration (2024), Solid Restoration (2023).",3,Not reviewed,P3-038
Tradescope Capital,P3_INDEPENDENT_SPONSOR,,,,,commercial_mep|residential_hvac,,1,unknown,,T3,2025-12-01,https://www.axial.net/company/tradescope-capital,,,DISCOVERY,https://www.axial.net/company/tradescope-capital,2026-08-17,"Acquires small building trade contractors, integrates into geographic Pods across growing US markets.",2,Not reviewed,P3-039
Watchtower Capital Partners,P3_INDEPENDENT_SPONSOR,Charlotte,NC,watchtowercp.com,,residential_hvac|residential_plumbing,VA|MD|DE,1,unknown,Ally Services,T3,2025-01-01,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,Mike Minchella,Managing Partner,VERIFIED,https://www.prnewswire.com/news-releases/watchtower-capital-partners-completes-first-platform-investment-in-ally-services-301861252.html,2026-08-17,"Backs Ally Services (Mid-Atlantic). 2025 add-ons: J Hood, Tri-County Aire, Above & Beyond. Founding platform Jun 2023 with Aldine Capital.",3,Not reviewed,P3-040
AI Fire,P4_PLATFORM,Long Beach,CA,aifire.com,~$1.1B (Blackstone acquisition 2025-02),fire_life_safety,,,unknown,Blackstone,T3,2025-02-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,Impact Fire + Academy Fire. 45+ offices. Blackstone from TruArc Feb 2025.,3,Not reviewed,P4-001
Aligned Exteriors Group,P4_PLATFORM,,,,,roofing,MI|OH|IL|MN,,unknown,River Sea Network / Pearl Street Capital,T3,2025-10-15,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,Upper Midwest/Great Lakes. Whitney Roofing (Oct 2025); Trinity Exteriors (2026).,1,Not reviewed,P4-002
Ally Services,P4_PLATFORM,,,,,residential_hvac|residential_plumbing,VA|MD|DE,,unknown,Watchtower Capital Partners,T3,2025-01-01,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,,,DISCOVERY,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,2026-08-17,"Mid-Atlantic. 3 add-ons in 2025: J Hood, Tri-County Aire, Above & Beyond. HQ and domain not verified.",3,Not reviewed,P4-003
Altus Fire and Life Safety,P4_PLATFORM,Atlanta,GA,,,fire_life_safety,,,unknown,AE Industrial Partners,T3,2025-01-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,"Multi-brand: Fire Systems, Cross-Fire, BK, Priority Fire. Domain not verified.",3,Not reviewed,P4-004
Apex Service Partners,P4_PLATFORM,Tampa,FL,apexservicepartners.com,CONFLICT: Apollo release 2026-05-28 states 75 brands/46 states/+$3B revenue/+$500M EBITDA; trade trackers cite ~107 brands/~$1.3B,residential_hvac|residential_plumbing|residential_electrical,,,unknown,Alpine Investors / Apollo,T3,2025-01-01,https://ctacquisitions.com/guides/private-equity-hvac-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,~60 add-ons in 2025. Both scale figures carried. Large in-house corp dev - low outside-advisory need.,3,Not reviewed,P4-005
ASPYRE Fire & Life Safety,P4_PLATFORM,,,,,fire_life_safety,,,unknown,Percheron Capital,T2,2025-11-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,"NEW platform launched Nov 2025, led by ex-JCI/Tyco exec. No add-ons yet - highest origination need in fire.",1,Not reviewed,P4-006
Astra Service Partners,P4_PLATFORM,Oklahoma City,OK,astraservicepartners.com,,commercial_hvac|commercial_mep|commercial_plumbing,AZ|IN|MI|FL,,unknown,Alpine Investors,T3,2025-07-01,https://ctacquisitions.com/guides/private-equity-plumbing-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-plumbing-2026/,2026-08-17,"Orion Group brand network: 33 companies, 44 states. Diamondback Plumbing (Jan 2025); Griffen (Jul 2025).",2,Not reviewed,P4-007
Averon Group,P4_PLATFORM,Dallas,TX,,,energy_services|commercial_hvac,TX,,yes,Trinity Hunt Partners,T3,2026-02-04,https://www.businesswire.com/news/home/20260204186977/en/,,,VERIFIED,https://www.businesswire.com/news/home/20260204186977/en/,2026-08-17,National HVAC distribution. Blackhawk Supply (Jun 2025) + Fenco Supply (Feb 2026). Domain not verified.,1,Not reviewed,P4-008
Best Choice Roofing,P4_PLATFORM,Brentwood,TN,bestchoiceroofing.com,~$277M revenue (2023),roofing,,,unknown,Brightstar Capital Partners,T3,2024-08-07,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,Wayne Holloway,Founder/CEO,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,"85+ locations, 24 states.",3,Not reviewed,P4-009
Bluejack Fire & Life Safety,P4_PLATFORM,Houston,TX,,,fire_life_safety,TX,2,yes,Agellus Capital,T3,2025-03-26,https://www.privsource.com/,,,DISCOVERY,https://www.privsource.com/,2026-08-17,"Platform formed Feb 2025, Houston HQ. FirePro Tech + Chase Fire (TX); Orcus add-on Mar 2025. Newer platform - strong origination-need candidate.",2,Not reviewed,P4-010
Building Controls & Solutions,P4_PLATFORM,Dallas,TX,,,building_automation,TX|NC,,yes,Platte River Equity,T3,2025-01-22,https://www.privsource.com/acquisitions/deal/platte-river-equity-acquires-building-controls-solutions-wySvlo,,,DISCOVERY,https://platteriverequity.com/platte-river-equity-announces-the-acquisition-of-building-controls-solutions/,2026-08-17,24 branches US/Canada. Building automation distribution. Controlstop add-on. Domain not verified.,3,Not reviewed,P4-011
