"account_name","account_type","hq_city","hq_state","website_domain","fund_or_aum","verticals_active","states_active","platform_count","texas_exposure","sponsor_parent","trigger_type","trigger_date","trigger_source_url","contact_name","contact_title","verification","primary_source_url","last_checked","notes","tier","stage","source_key","register_match","held_reason","promoted_on"
"Schultz Brothers Holdings","P2_FAMILY_OFFICE","","TX","","","industrial_services|energy_services","TX","2","yes","","NONE","","","","","DISCOVERY","https://www.axial.net/company/schultz-brothers-holdings","2026-08-17","Texas family holding co; $1-5M EBITDA industrials, energy, business services.","3","Not reviewed","P2-033","","DISCOVERY — not primary-source verified",""
"SIG Partners","P2_FAMILY_OFFICE","Dallas","TX","sigpartners.com","","residential_hvac","TX","","yes","","T3","2026","https://www.axial.net/company/sig-partners","","","DISCOVERY","https://www.axial.net/company/sig-partners","2026-08-17","30+ companies in 6 years, operator model, 90-100% cash to close. Snipps Heating & Air Jan 2026.","1","Not reviewed","P2-034","","DISCOVERY — not primary-source verified",""
"StoneCalibre, LLC","P2_FAMILY_OFFICE","Los Angeles","CA","","","industrial_services","","11","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/stonecalibre-llc","2026-08-17","36 companies via 7 platforms; corporate divestitures/buy-and-builds.","3","Not reviewed","P2-035","","DISCOVERY — not primary-source verified",""
"The Arnold Companies","P2_FAMILY_OFFICE","Dallas","TX","","","energy_services","TX","7","yes","","NONE","","","","","DISCOVERY","https://www.axial.net/company/the-arnold-companies","2026-08-17","Dallas family investment firm; refined-petroleum distribution roots, aviation, RE.","3","Not reviewed","P2-037","","DISCOVERY — not primary-source verified",""
"Thrive Five","P2_FAMILY_OFFICE","","TX","","","other","TX","6","yes","","NONE","","","","","DISCOVERY","https://www.axial.net/company/thrive-five","2026-08-17","SFO; healthcare and outdoor building products.","3","Not reviewed","P2-039","","DISCOVERY — not primary-source verified",""
"Tillery Capital","P2_FAMILY_OFFICE","Charlotte","NC","tillerycapital.com","","industrial_services|facilities_services","","","unknown","","NONE","","","","","DISCOVERY","https://tillerycapital.com/","2026-08-17","Family-office-structured; LMM companies >$2M EBITDA.","3","Not reviewed","P2-040","","DISCOVERY — not primary-source verified",""
"Treaty Oak Equity","P2_FAMILY_OFFICE","Austin","TX","","","residential_hvac|residential_plumbing|residential_electrical","TX","6","yes","","T3","2024","https://www.axial.net/company/treaty-oak-equity","","","DISCOVERY","https://www.axial.net/company/treaty-oak-equity","2026-08-17","Commitments from two Texas family offices. Held Stan's Heating Air Plumbing & Electrical and Wagner Mechanical (Austin); sold to The Master Trades Group 2024.","3","Not reviewed","P2-041","","DISCOVERY — not primary-source verified",""
"Amalgam Capital, LLC","P3_INDEPENDENT_SPONSOR","","","","","commercial_hvac|commercial_mep","VA","1","unknown","MechanAir","T3","2024-10-01","https://www.axial.net/company/amalgam-capital-llc","","","DISCOVERY","https://www.axial.net/company/amalgam-capital-llc","2026-08-17","Operator-led IS. Core Mechanical (2024), State Mechanical (2021), Hampton Roads Mechanical (2021) forming MechanAir with Delos Capital.","3","Not reviewed","P3-002","","DISCOVERY — not primary-source verified",""
"American Growth Partners","P3_INDEPENDENT_SPONSOR","","CA","american-gp.com","","industrial_services","","0","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/american-growth-partners","2026-08-17","N. California investor-operators; services and industrial $1M+ EBITDA. No reported closed deals.","3","Not reviewed","P3-003","","DISCOVERY — not primary-source verified",""
"Ballard & Brown","P3_INDEPENDENT_SPONSOR","Henderson","NV","","","residential_hvac","NV","1","unknown","","T3","2023-12-29","https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada","Matt Ballard","Partner","DISCOVERY","https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada","2026-08-17","Sunrise Mechanical/Sunrise Service (Henderson NV, 150+ employees), $21M Columbia Pacific senior secured term loan.","3","Not reviewed","P3-005","","DISCOVERY — not primary-source verified",""
"BaseCamp Equity Partners","P3_INDEPENDENT_SPONSOR","","","basecampequity.com","","roofing","CO","1","unknown","","T3","2026-04-02","https://www.citybiz.co/article/827996/superior-roofing-completes-ownership-transition/","","","DISCOVERY","https://www.citybiz.co/article/827996/superior-roofing-completes-ownership-transition/","2026-08-17","Co-lead investor in Superior Roofing (CO) with MasGroup Apr 2026. HQ not verified.","2","Not reviewed","P3-006","","DISCOVERY — not primary-source verified",""
"Black Dune","P3_INDEPENDENT_SPONSOR","","","","","industrial_services|facilities_services","","","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/black-dune","2026-08-17","LMM B2B commercial and industrial services, specialty distribution; multi-site buy-and-build.","3","Not reviewed","P3-007","","DISCOVERY — not primary-source verified",""
"Boudrow Capital","P3_INDEPENDENT_SPONSOR","","","","","facilities_services","","0","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/boudrow-capital","2026-08-17","B2B service businesses with recurring revenue in New England. No reported closed deals.","3","Not reviewed","P3-008","","DISCOVERY — not primary-source verified",""
"Broadwing Capital","P3_INDEPENDENT_SPONSOR","Dallas","TX","","","industrial_services|commercial_mep","TX","3","yes","","T3","2024-09-12","https://www.axial.net/company/broadwing-capital","Eliot Kerlin Jr.","Managing Partner","DISCOVERY","https://www.axial.net/company/broadwing-capital","2026-08-17","CONFLICT ON TYPE: tagged P1_PE in an earlier run. Dallas. Upchurch Services; Weldon Services (DFW-area MEP) add-on 2024.","3","Not reviewed","P3-009","","DISCOVERY — not primary-source verified",""
"Caravel Capital LLC","P3_INDEPENDENT_SPONSOR","","","","","landscaping","GA","4","unknown","","T3","2026-04-01","https://www.axial.net/company/caravel-capital-llc","","","DISCOVERY","https://www.axial.net/company/caravel-capital-llc","2026-08-17","Tree-service roll-up: Thornton's, Big Ben's, Georgia Tree, Holcomb (2025-2026).","2","Not reviewed","P3-010","","DISCOVERY — not primary-source verified",""
"Clavis Capital Partners","P3_INDEPENDENT_SPONSOR","","","","","industrial_services","","","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/clavis-capital-partners","2026-08-17","Operator-led; manufacturing and industrial services >$3M EBITDA.","3","Not reviewed","P3-011","","DISCOVERY — not primary-source verified",""
"Cresthaven Capital","P3_INDEPENDENT_SPONSOR","","","","","facilities_services|utility_services|industrial_services","","","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/cresthaven-capital","2026-08-17","Permanent-capital IS; facilities services, gov/defense contracting, $1-25M+ EBITDA.","3","Not reviewed","P3-013","","DISCOVERY — not primary-source verified",""
"Dark Matter","P3_INDEPENDENT_SPONSOR","","","","","industrial_services","","","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/dark-matter","2026-08-17","Balance-sheet plus external capital; control positions US/Canada. AMBIGUOUS FO/IS hybrid.","3","Not reviewed","P3-014","","DISCOVERY — not primary-source verified",""
"Del Monte Capital","P3_INDEPENDENT_SPONSOR","Houston","TX","","","fire_life_safety|elevator|industrial_services|utility_services","TX","3","yes","","T3","2026-03-01","https://www.axial.net/company/del-monte-capital","","","DISCOVERY","https://www.axial.net/company/del-monte-capital","2026-08-17","Texas LMM sponsor est. 2023. DLG Infrastructure Services (2026), Stratos Elevator + Integrity Elevator (2024).","2","Not reviewed","P3-015","","DISCOVERY — not primary-source verified",""
"Evolution Strategy Partners","P3_INDEPENDENT_SPONSOR","Chicago","IL","","","commercial_electrical|landscaping","TX","2","yes","","T3","2024-03-01","https://www.axial.net/company/evolution-strategy","","","DISCOVERY","https://www.axial.net/company/evolution-strategy","2026-08-17","Amped Electric (2024) and Houston Landscapes Unlimited (2024).","3","Not reviewed","P3-016","","DISCOVERY — not primary-source verified",""
"Foundation Investment Partners","P3_INDEPENDENT_SPONSOR","","","","","industrial_services","","","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/foundation-investment-partners","2026-08-17","Niche manufacturers, value-added distributors, outsourced business services.","3","Not reviewed","P3-017","","DISCOVERY — not primary-source verified",""
"Good Springs Capital","P3_INDEPENDENT_SPONSOR","Fayetteville","AR","","","commercial_hvac|commercial_plumbing|commercial_mep|residential_plumbing","NJ|TX","2","yes","","T3","2025","https://www.privsource.com/acquisitions/hvac-mechanical/2025","","","DISCOVERY","https://www.privsource.com/acquisitions/hvac-mechanical/2025","2026-08-17","CONFLICT ON TYPE: tagged P1_PE in an earlier run. Falasca Mechanical (NJ); Kimbel Mechanical Systems with Gibson Plumbing (San Antonio, DFW footprint).","3","Not reviewed","P3-018","","DISCOVERY — not primary-source verified",""
"Hillstar Capital","P3_INDEPENDENT_SPONSOR","","","","","industrial_services|commercial_electrical","TX","3","yes","","NONE","","","","","DISCOVERY","https://www.axial.net/company/hillstar-capital","2026-08-17","Patriot Erectors, OneCor Services, RBD Construction.","3","Not reviewed","P3-020","","DISCOVERY — not primary-source verified",""
"House Rock Capital Partners","P3_INDEPENDENT_SPONSOR","","","","","industrial_services","","2","unknown","","NONE","","","Bobby Anderson","Founder","DISCOVERY","https://www.axial.net/company/house-rock-capital-partners-llc","2026-08-17","Operator-led; manufacturing platforms $10-100M revenue, $53M+ deployed.","3","Not reviewed","P3-021","","DISCOVERY — not primary-source verified",""
"Kissel Capital LLC","P3_INDEPENDENT_SPONSOR","","IN","","","fire_life_safety|industrial_services","","3","unknown","","T3","2025-11-01","https://www.axial.net/company/kissel-capital-llc","","","DISCOVERY","https://www.axial.net/company/kissel-capital-llc","2026-08-17","Indiana IS, industrial $2-6M EBITDA. Safety Boss. AMBIGUOUS: ex-committed-fund, MBO orientation.","2","Not reviewed","P3-023","","DISCOVERY — not primary-source verified",""
"Marigny Investments LLC","P3_INDEPENDENT_SPONSOR","Denver","CO","","","other","","2","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/marigny-investments-llc","2026-08-17","B2B services and light manufacturing, $1-5M EBITDA.","3","Not reviewed","P3-024","","DISCOVERY — not primary-source verified",""
"Milton Street Capital","P3_INDEPENDENT_SPONSOR","Dallas","TX","","","commercial_mep","TX","1","yes","PurgeRite","T3","2023-10-04","https://www.privsource.com/","","","DISCOVERY","https://www.privsource.com/","2026-08-17","PurgeRite (mechanical flushing/filtration, data-center end-market), majority recap Oct 2023.","3","Not reviewed","P3-025","","DISCOVERY — not primary-source verified",""
"Narrow River Capital","P3_INDEPENDENT_SPONSOR","","","","","industrial_services","","","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/forum/companies/industrial-machinery-equipment-independent-sponsors/29/","2026-08-17","Industrial services in fragmented markets, recurring revenue/essential-service models. Founder ex-CVC/Apollo.","3","Not reviewed","P3-026","","DISCOVERY — not primary-source verified",""
"Red River Equity Partners","P3_INDEPENDENT_SPONSOR","Dallas","TX","","","industrial_services","TX","1","yes","","T3","2024-02-01","https://www.axial.net/company/red-river-equity-partners","","","DISCOVERY","https://www.axial.net/company/red-river-equity-partners","2026-08-17","Dallas IS. 1888 Industrial Services (2024).","3","Not reviewed","P3-027","","DISCOVERY — not primary-source verified",""
"Rox Capital","P3_INDEPENDENT_SPONSOR","","","","","industrial_services","","2","unknown","","T3","2023-07-01","https://www.axial.net/company/rox-capital","","","DISCOVERY","https://www.axial.net/company/rox-capital","2026-08-17","LMM $1.5-3M cash flow. Neil Technical Services, Scruggs Company.","3","Not reviewed","P3-028","","DISCOVERY — not primary-source verified",""
"Silver Peak Partners","P3_INDEPENDENT_SPONSOR","Denver","CO","","","utility_services|industrial_services","","2","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/silver-peak-partners","2026-08-17","$2-15M EBITDA. CG Environmental, Rocky Mountain Excavating.","3","Not reviewed","P3-029","","DISCOVERY — not primary-source verified",""
"Sound Partners","P3_INDEPENDENT_SPONSOR","","","","","commercial_hvac","NV|CA|TX","1","yes","The Mechanical Group","NONE","","https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada","","","DISCOVERY","https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada","2026-08-17","With Calico Group: Tradewinds Mechanical (Las Vegas), S&R Air Conditioning (LA), Climate Specialists (Austin) forming The Mechanical Group. trigger_date not established.","3","Not reviewed","P3-030","","DISCOVERY — not primary-source verified",""
"Stuart Acquisitions, LLC","P3_INDEPENDENT_SPONSOR","","","","","facilities_services","","1","unknown","","T3","2025-07-01","https://www.axial.net/company/stuart-acquisitions-llc","","","DISCOVERY","https://www.axial.net/company/stuart-acquisitions-llc","2026-08-17","MBO/turnarounds/recaps; asset-light services. Pool-service roll-up 2025.","2","Not reviewed","P3-031","","DISCOVERY — not primary-source verified",""
"SubSplit Services Group","P3_INDEPENDENT_SPONSOR","","TX","","","commercial_mep","TX","1","yes","Stratus Systems","T3","2025-01-24","https://www.privsource.com/","","","DISCOVERY","https://www.privsource.com/","2026-08-17","Permanent capital. Stratus Systems (Dallas, mechanical/high-purity piping) buyout Jan 2025.","3","Not reviewed","P3-032","","DISCOVERY — not primary-source verified",""
"Sundog Capital","P3_INDEPENDENT_SPONSOR","","","","","commercial_electrical|residential_electrical","","1","unknown","","T3","2022-04-01","https://www.axial.net/company/sundog-capital","","","DISCOVERY","https://www.axial.net/company/sundog-capital","2026-08-17","Investor-operators; construction and contracting. Stryker Electrical, Bay Area Electric, Edge Electric (2022).","3","Not reviewed","P3-033","","DISCOVERY — not primary-source verified",""
"Swift Anchor Holdings","P3_INDEPENDENT_SPONSOR","","","","","industrial_services","","","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/swift-anchor-holdings","2026-08-17","Backed by leading family offices; $3-25M EBITDA healthcare, business/industrial services, A&D.","3","Not reviewed","P3-034","","DISCOVERY — not primary-source verified",""
"Tenet","P3_INDEPENDENT_SPONSOR","","","","","industrial_services","","0","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/tenet","2026-08-17","Permanent-capital IS acquiring small essential-service businesses in compliance-driven skilled trades. No reported closed deals yet.","3","Not reviewed","P3-035","","DISCOVERY — not primary-source verified",""
"Thesis Capital Partners LLC","P3_INDEPENDENT_SPONSOR","","","","","other","","2","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/thesis-capital-partners-llc","2026-08-17","Operator-led; family-owned LMM buy-and-build.","3","Not reviewed","P3-036","","DISCOVERY — not primary-source verified",""
"Thornblade Capital","P3_INDEPENDENT_SPONSOR","","","","","other","","","unknown","","NONE","","","","","DISCOVERY","https://www.axial.net/company/thornblade-capital2","2026-08-17","IS/advisory for $3-50M revenue small businesses.","3","Not reviewed","P3-037","","DISCOVERY — not primary-source verified",""
"Timoneer Strategic Partners","P3_INDEPENDENT_SPONSOR","","","","","facilities_services","","1","unknown","","T3","2024-12-01","https://www.axial.net/company/timoneer-strategic-partners","","","DISCOVERY","https://www.axial.net/company/timoneer-strategic-partners","2026-08-17","Restoration platform: DRC Restoration (2024), Solid Restoration (2023).","3","Not reviewed","P3-038","","DISCOVERY — not primary-source verified",""
"Tradescope Capital","P3_INDEPENDENT_SPONSOR","","","","","commercial_mep|residential_hvac","","1","unknown","","T3","2025-12-01","https://www.axial.net/company/tradescope-capital","","","DISCOVERY","https://www.axial.net/company/tradescope-capital","2026-08-17","Acquires small building trade contractors, integrates into geographic Pods across growing US markets.","2","Not reviewed","P3-039","","DISCOVERY — not primary-source verified",""
"AI Fire","P4_PLATFORM","Long Beach","CA","aifire.com","~$1.1B (Blackstone acquisition 2025-02)","fire_life_safety","","","unknown","Blackstone","T3","2025-02-01","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Impact Fire + Academy Fire. 45+ offices. Blackstone from TruArc Feb 2025.","3","Not reviewed","P4-001","","DISCOVERY — not primary-source verified",""
"Aligned Exteriors Group","P4_PLATFORM","","","","","roofing","MI|OH|IL|MN","","unknown","River Sea Network / Pearl Street Capital","T3","2025-10-15","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","Upper Midwest/Great Lakes. Whitney Roofing (Oct 2025); Trinity Exteriors (2026).","1","Not reviewed","P4-002","","DISCOVERY — not primary-source verified",""
"Ally Services","P4_PLATFORM","","","","","residential_hvac|residential_plumbing","VA|MD|DE","","unknown","Watchtower Capital Partners","T3","2025","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","","","DISCOVERY","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","2026-08-17","Mid-Atlantic. 3 add-ons in 2025: J Hood, Tri-County Aire, Above & Beyond. HQ and domain not verified.","3","Not reviewed","P4-003","","DISCOVERY — not primary-source verified",""
"Altus Fire and Life Safety","P4_PLATFORM","Atlanta","GA","","","fire_life_safety","","","unknown","AE Industrial Partners","T3","2025","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Multi-brand: Fire Systems, Cross-Fire, BK, Priority Fire. Domain not verified.","3","Not reviewed","P4-004","","DISCOVERY — not primary-source verified",""
"Apex Service Partners","P4_PLATFORM","Tampa","FL","apexservicepartners.com","CONFLICT: Apollo release 2026-05-28 states 75 brands/46 states/+$3B revenue/+$500M EBITDA; trade trackers cite ~107 brands/~$1.3B","residential_hvac|residential_plumbing|residential_electrical","","","unknown","Alpine Investors / Apollo","T3","2025","https://ctacquisitions.com/guides/private-equity-hvac-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","~60 add-ons in 2025. Both scale figures carried. Large in-house corp dev - low outside-advisory need.","3","Not reviewed","P4-005","ORG-056 | Apex Service Partners (Alpine/Partners Group/Apollo)","DISCOVERY — not primary-source verified",""
"ASPYRE Fire & Life Safety","P4_PLATFORM","","","","","fire_life_safety","","","unknown","Percheron Capital","T2","2025-11-01","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","NEW platform launched Nov 2025, led by ex-JCI/Tyco exec. No add-ons yet - highest origination need in fire.","1","Not reviewed","P4-006","","DISCOVERY — not primary-source verified",""
"Astra Service Partners","P4_PLATFORM","Oklahoma City","OK","astraservicepartners.com","","commercial_hvac|commercial_mep|commercial_plumbing","AZ|IN|MI|FL","","unknown","Alpine Investors","T3","2025-07-01","https://ctacquisitions.com/guides/private-equity-plumbing-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-plumbing-2026/","2026-08-17","Orion Group brand network: 33 companies, 44 states. Diamondback Plumbing (Jan 2025); Griffen (Jul 2025).","2","Not reviewed","P4-007","","DISCOVERY — not primary-source verified",""
"Best Choice Roofing","P4_PLATFORM","Brentwood","TN","bestchoiceroofing.com","~$277M revenue (2023)","roofing","","","unknown","Brightstar Capital Partners","T3","2024-08-07","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","Wayne Holloway","Founder/CEO","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","85+ locations, 24 states.","3","Not reviewed","P4-009","","DISCOVERY — not primary-source verified",""
"Bluejack Fire & Life Safety","P4_PLATFORM","Houston","TX","","","fire_life_safety","TX","2","yes","Agellus Capital","T3","2025-03-26","https://www.privsource.com/","","","DISCOVERY","https://www.privsource.com/","2026-08-17","Platform formed Feb 2025, Houston HQ. FirePro Tech + Chase Fire (TX); Orcus add-on Mar 2025. Newer platform - strong origination-need candidate.","2","Not reviewed","P4-010","","DISCOVERY — not primary-source verified",""
"Building Controls & Solutions","P4_PLATFORM","Dallas","TX","","","building_automation","TX|NC","","yes","Platte River Equity","T3","2025-01-22","https://www.privsource.com/acquisitions/deal/platte-river-equity-acquires-building-controls-solutions-wySvlo","","","DISCOVERY","https://platteriverequity.com/platte-river-equity-announces-the-acquisition-of-building-controls-solutions/","2026-08-17","24 branches US/Canada. Building automation distribution. Controlstop add-on. Domain not verified.","3","Not reviewed","P4-011","","DISCOVERY — not primary-source verified",""
"Champions Group Holdings","P4_PLATFORM","Orange County","CA","championsgrp.com","~$2.5B EV / ~$140M EBITDA","residential_hvac|residential_plumbing|residential_electrical","TX","","yes","Blackstone (BXPE)","T3","2026-02-17","https://ctacquisitions.com/guides/private-equity-hvac-2026/","Frank DiMarco","CEO","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","Sold to Blackstone Feb 2026 (~18.5x). Prior sponsor Odyssey. Lex Cooling Heating Plumbing & Electrical (North Texas) add-on 2026-01-15.","1","Not reviewed","P4-012","","DISCOVERY — not primary-source verified",""
"Crete United","P4_PLATFORM","Charlotte","NC","creteunited.com","","commercial_hvac|commercial_mep|facilities_services|energy_services","TX","","yes","Ridgemont Equity Partners","T3","2024-03-19","https://www.threesixtyseven.com/wp-content/uploads/2025/09/US-Commercial-HVAC-Plumbing-Industry-Report-V2.pdf","","","DISCOVERY","https://www.threesixtyseven.com/wp-content/uploads/2025/09/US-Commercial-HVAC-Plumbing-Industry-Report-V2.pdf","2026-08-17","ProStar Energy Solutions (Frisco, TX) add-on. Ridgemont sale process reported late 2025 - T1 signal, deprioritize.","3","Not reviewed","P4-014","","DISCOVERY — not primary-source verified",""
"Del-Air","P4_PLATFORM","Sanford","FL","delair.com","","residential_hvac|residential_plumbing|residential_electrical","FL","","unknown","Astara Capital Partners","T3","2025","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","","","DISCOVERY","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","2026-08-17","FL residential trades. McGowan's and other add-ons.","3","Not reviewed","P4-015","","DISCOVERY — not primary-source verified",""
"Encore Fire Protection","P4_PLATFORM","Pawtucket","RI","encorefp.com","","fire_life_safety","","","unknown","Permira","T3","2025-03-01","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","NE-anchored ITM. CONFLICT: sponsor named as Permira by one source, Berkshire Partners by another. Both carried.","2","Not reviewed","P4-017","","DISCOVERY — not primary-source verified",""
"Eskola Roofing & Waterproofing","P4_PLATFORM","Chattanooga","TN","eskola.com","","roofing","TX|NM|FL|SC","","yes","Eagle Merchant Partners","T3","2024-11-05","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","2026-08-17","22 locations. Frontier/BBG/Keating Nov 2024.","3","Not reviewed","P4-018","","DISCOVERY — not primary-source verified",""
"Founders Home Service Group","P4_PLATFORM","Overland Park","KS","","","residential_plumbing|residential_hvac|residential_electrical","KS","","unknown","Kompass Kapital","T3","2026-05-01","https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/","2026-08-17","AAA City Plumbing May 2026. Family-office-backed consolidator. Domain not verified.","1","Not reviewed","P4-022","","DISCOVERY — not primary-source verified",""
"Grizzly MEP","P4_PLATFORM","","","","","commercial_mep|commercial_hvac","VT","","unknown","Garnett Station Partners","T3","2025","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","","","DISCOVERY","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","2026-08-17","Vermont Mechanical partnership. HQ and domain not verified.","3","Not reviewed","P4-024","","DISCOVERY — not primary-source verified",""
"Guardian Fire Protection Services","P4_PLATFORM","Rockville","MD","guardianfire.com","","fire_life_safety","MD","","unknown","Knox Lane","T3","2025","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","9 locations, 4 states, ~24,000 commercial customers. Harris Fire Protection add-on. DISTINCT from Guardian Fire Services (Investcorp).","3","Not reviewed","P4-025","","DISCOVERY — not primary-source verified",""
"Guardian Fire Services","P4_PLATFORM","Nashville","TN","","","fire_life_safety","TX","","yes","Investcorp","T3","2026-08-10","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","~17 branches. Houston Fire & Security add-on Aug 2026 = Texas market entry. DISTINCT from Guardian Fire Protection Services (Knox Lane). Domain not verified.","1","Not reviewed","P4-026","","DISCOVERY — not primary-source verified",""
"Impact Climate Technologies","P4_PLATFORM","","","","","commercial_hvac","TX","","yes","Ardian","T3","2026-01-31","https://www.privsource.com/","","","DISCOVERY","https://www.privsource.com/","2026-08-17","Larry Wunsch & Associates (San Antonio) add-on Jan 2026. HQ and domain not verified.","1","Not reviewed","P4-027","","DISCOVERY — not primary-source verified",""
"Infinity Home Services","P4_PLATFORM","","","","","roofing","","26","unknown","Freeman Spogli / LightBay","T3","2025","https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/","","","DISCOVERY","https://axiaadvisors.com/private-equity-roofing-platforms/","2026-08-17","26 portfolio roofing brands. HQ and domain not verified.","3","Not reviewed","P4-028","","DISCOVERY — not primary-source verified",""
"Kassel Mechanical Holdings","P4_PLATFORM","","TX","","","commercial_mep|fire_life_safety","TX","","yes","Paceline Equity Partners","T3","2025-04-10","https://www.abfjournal.com/","","","DISCOVERY","https://www.abfjournal.com/","2026-08-17","MEPF. Arrow Electric add-on Apr 2025 alongside $40M preferred equity. HQ city and domain not verified.","2","Not reviewed","P4-029","","DISCOVERY — not primary-source verified",""
"Legacy Service Partners","P4_PLATFORM","Tampa","FL","legacyservicepartners.com","$531M+ total capital raised","residential_hvac|residential_plumbing|residential_electrical","","","unknown","Gridiron Capital","T3","2025","https://ctacquisitions.com/guides/private-equity-hvac-2026/","Jake Sloane","Co-founder","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","National, 19 states. Founded 2021.","3","Not reviewed","P4-030","ORG-072 | Legacy Service Partners (Gridiron Capital)","DISCOVERY — not primary-source verified",""
"Liberty Service Partners","P4_PLATFORM","Addison","TX","","","residential_hvac|residential_plumbing|residential_electrical","TX|FL","","yes","NorthCurrent Partners","T3","2026-04-01","https://www.capstonepartners.com/insights/article-hvac-services-ma-update/","","","DISCOVERY","https://www.prnewswire.com/news-releases/liberty-service-partners-expands-into-the-mid-atlantic-with-partnership-with-hvac--plumbing-unlimited-302749166.html","2026-08-17","Dallas-based. Arctic Breeze (Snidman) Apr 2026; HVAC & Plumbing Unlimited (Mid-Atlantic entry). Domain not verified.","1","Not reviewed","P4-031","","DISCOVERY — not primary-source verified",""
"Marmic Fire & Safety","P4_PLATFORM","Joplin","MO","marmic.com","","fire_life_safety","","","unknown","KKR","T3","2024-07-01","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","Founded 1951. KKR from HGGC Jul 2024.","3","Not reviewed","P4-032","","DISCOVERY — not primary-source verified",""
"MechanAir","P4_PLATFORM","","","","","commercial_hvac|commercial_mep","VA","","unknown","Amalgam Capital / Delos Capital","T3","2024-10-01","https://www.axial.net/company/amalgam-capital-llc","","","DISCOVERY","https://www.axial.net/company/amalgam-capital-llc","2026-08-17","HVAC/mechanical platform formed from Core Mechanical, State Mechanical, Hampton Roads Mechanical. HQ and domain not verified.","3","Not reviewed","P4-033","","DISCOVERY — not primary-source verified",""
