"rank","score","tier","firm","account_type","buyer_moment_DERIVED","lead_with","contact_name","contact_title","linkedin_action","linkedin_query","texas","verticals_active","website","source_url","org_id","score_detail","notes","flag"
"48","46","C","Optimum Energy Co.","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Optimum Energy Co."" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","energy_services|commercial_mep","optimumenergyco.com","https://www.businesswire.com/news/home/20260812343122/en/","ORG-113","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 5 (no named contact) · structure 5 (platform) · activity 15 (0mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-037] Energy-as-a-Service; central plant optimization. Hussung Mechanical Contractors Aug 2026. HQ not verified.",""
"49","46","C","Rampart Exterior Services","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Rampart Exterior Services"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","yes","roofing|facilities_services","","https://www.huroncapital.com/news/huron-capital-launches-rampart-exterior-servicestm-to-provide-commercial-roofing-and-exterior-services/","ORG-116","need 8 (unknown) · lane 25 (dfw yes, trade match) · reach 0 (no named contact) · structure 5 (platform) · activity 8 (19mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-046] Commercial roofing/exterior. Port Enterprises (TX) partnership. HQ and domain not verified.","no domain on file"
"50","43","C","Panther Service Group","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Panther Service Group"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","residential_hvac|residential_plumbing|residential_electrical","pantherservicegroup.com","https://www.prnewswire.com/news-releases/pearl-street-capital-partners-launches-panther-service-group-a-new-plumbing-hvac-and-electrical-services-platform-focused-in-florida-302731949.html","ORG-114","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 5 (no named contact) · structure 5 (platform) · activity 12 (7mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-039] NEW FL platform founded 2026. No add-ons yet - high origination need. HQ not verified.",""
"51","43","C","United Utility Services","P4_PLATFORM","unknown","conviction","Colt Moedl","CEO","Connect with Colt Moedl, CEO","Lead search: ""Colt Moedl"" · Current company = ""United Utility Services""","unknown","utility_services|energy_services","unitedutility.com","https://www.sandbrook.com/news/sandbrook-announces-acquisition-of-united-utility-services","ORG-124","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 5 (platform) · activity 12 (8mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-065] Electric grid infra services (T&D/substation). Formed 2018 by Bernhard; sold to Sandbrook Dec 2025. HQ not verified.",""
"52","41","C","Anacapa Partners","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Jeff Stevens","Founder / Managing Partner","Connect with Jeff Stevens, Founder / Managing Partner","Lead search: ""Jeff Stevens"" · Current company = ""Anacapa Partners""","unknown","other","anacapapartners.com","https://anacapapartners.com/","ORG-125","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-001] 175+ search partnerships, 60+ operating-company investments. Predictable/recurring revenue. Also acts as IS on select deals.",""
"53","41","C","Endurance Search Partners","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Rich Augustyn","Founder / Managing Partner","Connect with Rich Augustyn, Founder / Managing Partner","Lead search: ""Rich Augustyn"" · Current company = ""Endurance Search Partners""","unknown","other","endurancesearchpartners.com","https://www.endurancesearchpartners.com/","ORG-127","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-004] Modern family office; 350+ partnerships, 226 investments. States preference for profitable service companies with recurring revenue.",""
"54","41","C","Footbridge Partners","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Greg Geronemus","Co-Founder / Managing Partner","Connect with Greg Geronemus, Co-Founder / Managing Partner","Lead search: ""Greg Geronemus"" · Current company = ""Footbridge Partners""","unknown","other","footbridgepartners.com","https://www.footbridgepartners.com/","ORG-129","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-006] Founded 2012; stable recurring-revenue businesses in overlooked niches. Second office SF Bay Area.",""
"55","41","C","Futaleufu Partners","P5_SEARCH_FUND_INVESTOR","unknown","conviction","David Dodson","Founder","Connect with David Dodson, Founder","Lead search: ""David Dodson"" · Current company = ""Futaleufu Partners""","unknown","other","futaleufu-partners.com","https://futaleufu-partners.com/","ORG-130","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-007] Long-hold ETA; industry-agnostic, pattern-recognition over industry thesis.",""
"56","41","C","Pacific Lake Partners","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Coley Andrews","Co-Founder / Partner","Connect with Coley Andrews, Co-Founder / Partner","Lead search: ""Coley Andrews"" · Current company = ""Pacific Lake Partners""","unknown","other","pacificlake.com","https://www.pacificlake.com/","ORG-134","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-011] Leading search-fund investor since Jul 2009, 202+ investments. Industry-agnostic, backs service companies ~$10-30M revenue. Both AUM figures carried.",""
"57","41","C","Permanent Equity","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Brent Beshore","Founder / CEO","Connect with Brent Beshore, Founder / CEO","Lead search: ""Brent Beshore"" · Current company = ""Permanent Equity""","unknown","industrial_services","permanentequity.com","https://www.permanentequity.com/","ORG-135","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-012] ~30-year funds. Portfolio incl. niche construction, manufacturing and distribution.",""
"58","41","C","Relay Investments","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Sandro Mina","Co-Founder","Connect with Sandro Mina, Co-Founder","Lead search: ""Sandro Mina"" · Current company = ""Relay Investments""","unknown","other","relayinvestments.com","https://www.relayinvestments.com/","ORG-136","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-013] 250+ search funds, 160+ acquisitions. Industry-agnostic; 15-25% stake, $1-3.5M equity checks.",""
"59","41","C","Sandbrook Capital","P1_PE","unknown","conviction","Colt Moedl","United Utility CEO","Connect with Colt Moedl, United Utility CEO","Lead search: ""Colt Moedl"" · Current company = ""Sandbrook Capital""","unknown","utility_services|energy_services","sandbrook.com","https://www.sandbrook.com/news/sandbrook-announces-acquisition-of-united-utility-services","ORG-095","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 3 (pe_fund) · activity 12 (8mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-050] Acquired United Utility (grid infra) from Bernhard, with Blackstone Credit.",""
"60","41","C","Search Fund Partners","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Rich Kelley","Co-Founder","Connect with Rich Kelley, Co-Founder","Lead search: ""Rich Kelley"" · Current company = ""Search Fund Partners""","unknown","other","searchfunds.net","https://www.searchfunds.net/","ORG-137","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-014] First PE fund dedicated to search funds (2004); 202 investments through 2025. Bay Area; exact city not verified.",""
"61","41","C","The Brydon Group","P2_FAMILY_OFFICE","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""The Brydon Group"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","facilities_services","brydon.com","https://www.brydon.com/portfolio","ORG-101","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 5 (no named contact) · structure 10 (family_office) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P2-038] Veteran-founded operator-led permanent capital. 46 acquisitions as of 2026-03-10. $1-5M EBITDA recurring revenue.",""
"62","41","C","Trilogy Search Partners","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Mitch Cohen","Chairman","Connect with Mitch Cohen, Chairman","Lead search: ""Mitch Cohen"" · Current company = ""Trilogy Search Partners""","unknown","other","trilogy-search.com","https://trilogy-search.com/team","ORG-138","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-015] Founded 2014; 66 portfolio companies, 18 acquisitions. Second office SF.",""
"63","41","C","WSC & Company","P5_SEARCH_FUND_INVESTOR","unknown","conviction","Badge Stone","Co-Founder / Partner","Connect with Badge Stone, Co-Founder / Partner","Lead search: ""Badge Stone"" · Current company = ""WSC & Company""","unknown","landscaping","wscandcompany.com","https://wscandcompany.com/","ORG-139","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P5-016] Business products and services $2-6M EBITDA. Backed Yard Alliance/YardWorks residential landscaping platform.",""
"64","40","C","Rosewood Private Investments","Single family office (Caroline Hunt Trust Estate)","has_both","conviction","Derry Burns","Director / Managing Director","Connect with Derry Burns, Director / Managing Director","Lead search: ""Derry Burns"" · Current company = ""Rosewood Private Investments""","unknown","","rosewoodpi.com","https://rosewoodpi.com/","ORG-012","need 10 (has_both) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Best combination on the entire board: DFW + beachhead vertical + proven platform + lean team.",""
"65","40","C","Strait Lane Capital Partners","Single family office","has_both","conviction","Matthew Swift","Managing Director (per aggregator — VERIFY)","Connect with Matthew Swift, Managing Director (per aggregator — VERIFY)","Lead search: ""Matthew Swift"" · Current company = ""Strait Lane Capital Partners""","unknown","","straitlanecapital.com","https://straitlanecapital.com/","ORG-050","need 10 (has_both) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","",""
"66","40","C","Surge Private Equity","Family office / LMM buyout","has_both","conviction","Tom Beauchamp, CPA","Founding Partner","Connect with Tom Beauchamp, CPA, Founding Partner","Lead search: ""Tom Beauchamp, CPA"" · Current company = ""Surge Private Equity""","unknown","","surgepe.com","https://surgepe.com/","ORG-014","need 10 (has_both) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Dallas + active + lean team + clean thesis fit.",""
"67","39","C","Fire Safety and Protection (FSP)","P4_PLATFORM","unknown","conviction","Curt Bagnall","CEO","Connect with Curt Bagnall, CEO","Lead search: ""Curt Bagnall"" · Current company = ""Fire Safety and Protection (FSP)""","unknown","fire_life_safety","firesp.com","https://firesp.com/news/fire-safety-protection-acquires-livingston-fire-protection-inc/","ORG-111","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 5 (platform) · activity 8 (19mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-020] US/Canada. 8+ acquisitions. Family-office-backed platform - unusual and worth a call.",""
"68","39","C","Teague Electric","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Teague Electric"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","commercial_electrical|utility_services","teague.com","https://www.businesswire.com/news/home/20250515946305/en/","ORG-119","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 5 (no named contact) · structure 5 (platform) · activity 8 (15mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-057] KC electrical contractor founded 1978, roll-up platform. Align Collaborate equity.",""
"69","38","C","CAMCO Investment Group","Family office / acquirer","unknown","conviction","Kyle Campbell","Founder & President","Connect with Kyle Campbell, Founder & President","Lead search: ""Kyle Campbell"" · Current company = ""CAMCO Investment Group""","unknown","","camcoig.com","https://camcoig.com/","ORG-020","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","",""
"70","38","C","Foundral","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Foundral"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","commercial_hvac|commercial_mep|commercial_plumbing","","https://mcnallycapital.com/our-companies","ORG-112","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 0 (no named contact) · structure 5 (platform) · activity 12 (8mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-023] Union-backed mechanical contracting platform built on Smith & Oby. A. Hattersley & Sons add-on. Family-office-backed. Domain not verified.","no domain on file"
"71","38","C","Hersh Family Investments","Single family office","unknown","conviction","Kenneth A. Hersh","Chairman","Connect with Kenneth A. Hersh, Chairman","Lead search: ""Kenneth A. Hersh"" · Current company = ""Hersh Family Investments""","unknown","","hershfi.com","https://hershfi.com/","ORG-033","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Profile height means a cold approach burns the shot.",""
"72","38","C","Labora","Single family office","unknown","conviction","Tom Mackie","Founder","Connect with Tom Mackie, Founder","Lead search: ""Tom Mackie"" · Current company = ""Labora""","unknown","","labora.com","https://labora.com/","ORG-036","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","",""
"73","38","C","Oak Legacy Management","Single family office","unknown","conviction","Tom Fenton","Principal & Founder","Connect with Tom Fenton, Principal & Founder","Lead search: ""Tom Fenton"" · Current company = ""Oak Legacy Management""","unknown","","oaklegacy-us.com","https://oaklegacy-us.com/","ORG-040","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","High deal cadence is the qualifying signal.",""
"74","38","C","Pangea's Edge","Single family office","unknown","conviction","Ken Bowdon","Founder / Chief Executive Officer","Connect with Ken Bowdon, Founder / Chief Executive Officer","Lead search: ""Ken Bowdon"" · Current company = ""Pangea's Edge""","unknown","","pangeasedge.com","https://pangeasedge.com/","ORG-042","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","",""
"75","38","C","Regency Electric","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Regency Electric"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","commercial_electrical","","https://www.businesswire.com/news/home/20251118389583/en/","ORG-117","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 0 (no named contact) · structure 5 (platform) · activity 12 (8mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-049] Denver commercial electrical founded 1986. Seifried family retained equity. Domain not verified.","no domain on file"
"76","37","C","Alpine Investors","P1_PE","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Alpine Investors"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","residential_hvac|residential_plumbing|residential_electrical|roofing|commercial_hvac","alpine-investors.com","https://ctacquisitions.com/guides/private-equity-hvac-2026/","ORG-084","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 5 (no named contact) · structure 3 (pe_fund) · activity 8 (19mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-004] Most active HVAC sponsor. Backs Apex, Vertex, Astra/Orion. Offices SF/NY/Austin.",""
"77","37","C","Goldman Sachs Alternatives","P1_PE","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Goldman Sachs Alternatives"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","residential_hvac|residential_plumbing|residential_electrical","goldmansachs.com","https://ctacquisitions.com/guides/private-equity-hvac-2026/","ORG-086","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 5 (no named contact) · structure 3 (pe_fund) · activity 8 (21mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-022] Nov 2024 majority recap of Sila from Morgan Stanley Capital Partners; reported ~$1.7B / ~17x.",""
"78","36","C","TechServ","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""TechServ"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","yes","energy_services|utility_services","","https://www.bernhardcapital.com/","ORG-120","need 8 (unknown) · lane 15 (dfw yes, trade miss) · reach 0 (no named contact) · structure 5 (platform) · activity 8 (14mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-058] Utility engineering platform, 850+ employees, 21 states. Platform acquired Jun 2025, NO disclosed add-ons since - visible pipeline gap. Domain not verified.","no domain on file"
"79","34","D","Eastern Exterior Partners","P4_PLATFORM","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Eastern Exterior Partners"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","roofing","","https://www.prnewswire.com/news-releases/confluence-point-acquires-perrys-roofing-launches-eastern-exterior-partners-302470946.html","ORG-109","need 8 (unknown) · lane 13 (dfw unknown, trade match) · reach 0 (no named contact) · structure 5 (platform) · activity 8 (14mo since last evidenced deal)","[2026-08-18 client-register-v1 / P4-016] Residential roofing platform launched on Perry's Roofing Jun 2025. Domain not verified.","no domain on file"
"80","34","D","Genesis Park / GP Capital Partners","SBIC — debt and equity","has_both","conviction","Curtis Hartman","Managing Partner / Principal","Connect with Curtis Hartman, Managing Partner / Principal","Lead search: ""Curtis Hartman"" · Current company = ""Genesis Park / GP Capital Partners""","unknown","","genesis-park.com","https://www.sba.gov/","ORG-008","need 10 (has_both) · lane 3 (dfw unknown, trade miss) · reach 15 · structure 4 (unknown) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Only Tier A target with a published direct email and phone. Does BOTH debt and equity — dual-purpose relationship.",""
"81","34","D","L Squared Capital Partners","P1_PE","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""L Squared Capital Partners"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","building_automation","lsquaredcap.com","https://www.businesswire.com/news/home/20260224862543/en/","ORG-091","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 5 (no named contact) · structure 3 (pe_fund) · activity 15 (5mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-036] Functional Devices (building automation controls). Actively pursuing add-ons.",""
"82","33","D","A.G. Hill Partners","Single family office (H.L. Hunt descendants)","unknown","conviction","Joseph O'Brien","President & Chief Executive Officer","Connect with Joseph O'Brien, President & Chief Executive Officer","Lead search: ""Joseph O'Brien"" · Current company = ""A.G. Hill Partners""","unknown","","","https://praxisrock.com/resources/investors/family-offices-dallas","ORG-018","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"83","31","D","Highview Capital","P1_PE","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Highview Capital"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","fire_life_safety","highviewcapital.com","https://highviewcapital.com/portfolio/national-fire-safety/","ORG-088","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 5 (no named contact) · structure 3 (pe_fund) · activity 12 (12mo since last evidenced deal)","[2026-08-18 client-register-v1 / P1-029] National Fire & Safety (7 Western states).",""
"84","31","D","Hoban Family Office","P2_FAMILY_OFFICE","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Hoban Family Office"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","other","hobanfamilyoffice.com","https://hobanfamilyoffice.com/direct-investments/","ORG-098","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 5 (no named contact) · structure 10 (family_office) · activity 5 (no dated deal evidence)","[2026-08-18 client-register-v1 / P2-014] SFO with direct-investment mandate: RE, operating businesses, PE/angel.",""
"85","31","D","National Fire & Safety (Highview Capital)","P4_PLATFORM","unknown","conviction","Chris Gannon","Chief Executive Officer","Connect with Chris Gannon, Chief Executive Officer","Lead search: ""Chris Gannon"" · Current company = ""National Fire & Safety (Highview Capital)""","unknown","fire_life_safety","","https://highviewcapital.com/portfolio/national-fire-safety/","ORG-039","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 5 (platform) · activity 5 (no dated deal evidence)","Beachhead vertical + proven DFW appetite. | prior source_url (2026-08-18): https://highviewcap.com/ | [2026-08-18 client-register-v1 / P4-035] 7 Western states. Frontier Fire Protection (Aug 2025), Elite FPS, RCI Systems. HQ and domain not verified.","no domain on file"
"86","29","D","Gupta Capital Group","Single family office","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Gupta Capital Group"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","","guptacapitalgroup.com","https://guptacapitalgroup.com/","ORG-070","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 5 (no named contact) · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","",""
"87","28","D","Columbia Home Services","Operator-acquirer, PE-backed","unknown","conviction","Paul Adams","Founder & Executive Chairman (fmr CEO)","Connect with Paul Adams, Founder & Executive Chairman (fmr CEO)","Lead search: ""Paul Adams"" · Current company = ""Columbia Home Services""","unknown","","","https://www.smartbusinessdealmakers.com/dallas/event/speakers/paul-adams/","ORG-007","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 10 · structure 4 (unknown) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","PE-backed, so qualify whether Tenex supplies origination before pitching depth of engagement.","no domain on file"
"88","25","D","Palo Duro Capital","LMM PE","has_both","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Palo Duro Capital"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","","palodurocapital.com","https://palodurocapital.com/","ORG-041","need 10 (has_both) · lane 3 (dfw unknown, trade miss) · reach 5 (no named contact) · structure 4 (unknown) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","",""
"89","24","D","AEC Equities, Inc.","Independent sponsor","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""AEC Equities, Inc."" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","","","https://www.axial.net/","ORG-054","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 0 (no named contact) · structure 10 (independent_sponsor) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"90","24","D","Lynch Holdings","Single family office","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Lynch Holdings"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","","","https://praxisrock.com/resources/investors/family-offices-dallas","ORG-038","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 0 (no named contact) · structure 10 (family_office) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Beachhead vertical match. Highest-value name-resolution task in the research queue.","no domain on file"
"91","20","D","Sky Island Capital","LMM PE","has_both","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Sky Island Capital"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","","","https://www.axial.net/","ORG-049","need 10 (has_both) · lane 3 (dfw unknown, trade miss) · reach 0 (no named contact) · structure 4 (unknown) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","Manufacturing focus is off-beachhead.","no domain on file"
"92","18","D","Dauntless Capital Partners","LMM PE","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""Dauntless Capital Partners"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","","","https://www.axial.net/","ORG-024","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 0 (no named contact) · structure 4 (unknown) · activity 5 (no dated deal evidence) · ×0.92 trade press, not their own disclosure","","no domain on file"
"93","16","D","UrbanBuild (Bauer Investments)","Operator-acquirer","unknown","conviction","","","Find the corp-dev / BD owner","Lead search: Current company = ""UrbanBuild (Bauer Investments)"" · Seniority = Director/VP/CXO · Title contains: Corporate Development OR M&A OR Acquisitions OR Business Development","unknown","","","","ORG-052","need 8 (unknown) · lane 3 (dfw unknown, trade miss) · reach 0 (no named contact) · structure 4 (unknown) · activity 5 (no dated deal evidence) · ×0.80 directory only — verify before acting","Do NOT message until the individual is confirmed.","no domain on file"
