"license_type","license_number","business_county","business_name","business_address_line1","business_address_line2","business_city_state_zip","business_telephone","license_expiration_date_mmddccyy","owner_name","mailing_address_line1","mailing_address_line2","mailing_address_city_state_zip","mailing_address_county","owner_telephone","license_subtype","continuing_education_flag","business_mailing"
"A/C Contractor","64528","TARRANT","PREMIER HEAT AND AIR LLC",,,,,"07/10/2026","COX, TAYLOR W",,,,"TARRANT",,"BC","N",
"A/C Contractor","38653","DALLAS","AIR COMFORT CO",,,,,"07/12/2027","CREEL, COLIN R",,,,"DALLAS",,"BE","N",
"A/C Contractor","29617","TARRANT","AZTEC AIR CONDITIONING AND HEATING",,,,,"02/26/2027","GARZA, JULIO SR",,,,"TARRANT",,"AE","N",
"A/C Contractor","5806","COLLIN","SANCHEZ REFRIGERATION & HEATING",,,,,"02/11/2027","SANCHEZ, DAVID WILLIAM",,,,"COLLIN",,"BC","N",
"A/C Contractor","2946","TARRANT","BROWN SERVICE COMPANY INC",,,,,"02/23/2026","BROWN, JAMES M",,,,"TARRANT",,"BC","N",
"A/C Contractor","9154","DALLAS","COMPLETE COMFORT SERVICE",,,,,"05/21/2027","HOLBROOK, GARY WAYNE",,,,"DALLAS",,"AC","N",
"A/C Contractor","65324","DALLAS","NORTH TEXAS HEATING AND COOLING",,,,,"05/08/2027","ELIZONDO, JUAN MERCED JR",,,,"DALLAS",,"AE","N",
"A/C Contractor","9224","TARRANT","DOUBLE EAGLE MECHANICAL SERVICES INC",,,,,"05/22/2027","BRYANT, CHARLES GENE",,,,"TARRANT",,"AE","N",
"A/C Contractor","12174","DALLAS","ALAN SCOTT FLETCHER",,,,,"02/21/2027","FLETCHER, ALAN SCOTT",,,,"DALLAS",,"BE","N",
"A/C Contractor","20776","TARRANT","EMERALD REFRIGERATION INC",,,,,"10/07/2026","DURKIN, MICHAEL D",,,,"TARRANT",,"AC","N",
"A/C Contractor","40925","DALLAS","L&S MECHANICAL, LLC",,,,,"08/30/2026","MCDANIEL, JORY D",,,,"DALLAS",,"AC","N",
"A/C Contractor","19648","TARRANT","DFW CONTRACTING SERVICES",,,,,"02/14/2027","LUCAS, JIMMY JR",,,,"TARRANT",,"BE","N",
"A/C Contractor","49241","DENTON","KNIATT MECHANICAL LLC",,,,,"10/01/2026","KNIATT, NATHAN ANDREW",,,,"DENTON",,"AC","N",
"A/C Contractor","69974","TARRANT","CALLAHAN ROACH LLC",,,,,"10/01/2026","REEDER, DARROL WAYNE",,,,"TARRANT",,"AE","N",
"A/C Contractor","18918","DENTON","COLDAIR A/C HEATING & REFRIGERATION",,,,,"10/11/2026","MURTAUGH, RICHARD",,,,"DENTON",,"BC","N",
"A/C Contractor","51447","DALLAS","LEXANY'S HEATING AND A/C",,,,,"05/07/2027","GARZA, GUSTAVO",,,,"DALLAS",,"BE","N",
"A/C Contractor","90714","COLLIN","ICLEAN ENERGY",,,,,"08/06/2027","NGUYEN, ANDY",,,,"COLLIN",,"BE","N",
"A/C Contractor","27515","DENTON","CMS MECHANICAL SERVICES, INC",,,,,"01/21/2027","CABALLERO, ISRAEL",,,,"DENTON",,"AC","N",
"A/C Contractor","28930","DALLAS","LONESTAR HVAC",,,,,"12/09/2026","CAMPOS, JOEL FRANK",,,,"DALLAS",,"BE","N",
"A/C Contractor","29751","DENTON","WHISENHUNT INDUSTRIES",,,,,"10/23/2026","WHISENHUNT, JIMMY D",,,,"DENTON",,"AC","N",
"A/C Contractor","30426","DALLAS","PRESTIGE AIR CONDITIONING AND HEATING",,,,,"05/28/2027","GARCIA, RIGO",,,,"DALLAS",,"AE","N",
"A/C Contractor","5912","DALLAS","HOME PLUMBING COMPANY INC",,,,,"04/30/2027","HAFERTEPE, JOSEPH DAVID",,,,"DALLAS",,"AC","N",
"A/C Contractor","15405","TARRANT","FULFER'S AIR CONDITIONING",,,,,"06/16/2027","FULFER, DOUGLAS",,,,"TARRANT",,"BC","N",
"A/C Contractor","12796","COLLIN","CHARLES KNIPPA MAINTENANCE",,,,,"03/25/2025","KNIPPA, CHARLES",,,,"COLLIN",,"BC","N",
"A/C Contractor","50328","DALLAS","AIRCITY SERVICES LLC",,,,,"12/12/2026","GALLEGOS, JOSE E",,,,"DALLAS",,"BE","N",
"A/C Contractor","23659","TARRANT","RIVERA'S AIR CONDITIONING & HEATING",,,,,"01/22/2027","RIVERA, STEVEN D",,,,"TARRANT",,"BE","N",
"A/C Contractor","18137","DALLAS","ELSTONAIRE INC DBA A/C GEEKS",,,,,"10/17/2026","ELSTON, STACY D",,,,"DALLAS",,"BE","N",
"A/C Contractor","20375","HUNT","PAGE E ROZELLE",,,,,"11/14/2025","ROZELLE, PAGE E",,,,"HUNT",,"BE","N",
"A/C Contractor","3197","DALLAS","DISCOUNT AIR CONDITIONING & HEATING",,,,,"01/24/2027","MAXIE, RAYFIELD",,,,"DALLAS",,"BC","N",
"A/C Contractor","98650","TARRANT","SILK ROAD CONSTRUCTION LLC",,,,,"07/14/2027","HALL, JEREMY BRANDON",,,,"TARRANT",,"AC","N",
"A/C Contractor","11751","DALLAS","METROPLEX HEATING & AIR CONDITIONING",,,,,"07/15/2026","LOCKABY, DURWOOD ANTHONY",,,,"DALLAS",,"BE","N",
"A/C Contractor","26109","PARKER","MC TEXAS HEAT & AIR",,,,,"10/20/2026","HORTON, CHRISTOPHER R",,,,"PARKER",,"BE","N",
"A/C Contractor","19070","DALLAS","TELECOOL SERVICES",,,,,"04/16/2027","VAIL, JOHNNY M",,,,"DALLAS",,"BE","N",
"A/C Contractor","33602","TARRANT","JOSE R MUNOZ",,,,,"10/09/2026","MUNOZ, JOSE R",,,,"TARRANT",,"BC","N",
"A/C Contractor","51418","DALLAS","PG MECHANICAL LLC",,,,,"02/25/2027","GOSAL, PARDEEP SINGH",,,,"DALLAS",,"BC","N",
"A/C Contractor","71008","PARKER","SUB ZERO MECHANICAL",,,,,"03/08/2027","WYWIAS , DANNY LEE JR",,,,"PARKER",,"AC","N",
"A/C Contractor","56385","DALLAS","DANIEL'S HEATING & AIR COND SERVICES",,,,,"11/18/2026","DANIEL, ARMOND L",,,,"DALLAS",,"BE","N",
"A/C Contractor","10267","TARRANT","MYCOMFORTAIR SERVICES INC",,,,,"03/30/2027","MORIN, RENE ANTHONY JR",,,,"TARRANT",,"BC","N",
"A/C Contractor","35157","DALLAS","R MICHAEL DUFFIN",,,,,"01/04/2027","DUFFIN, ROGER M",,,,"DALLAS",,"AE","N",
"A/C Contractor","65666","TARRANT","METROPLEX REFRIGERATION INC",,,,,"06/06/2027","MADDOX, WALLACE BURT JR",,,,"TARRANT",,"BR","N",
"A/C Contractor","15433","TARRANT","MAX HEATING & COOLING LLC",,,,,"06/13/2027","HARDIN, JAMES DIAMOND",,,,"TARRANT",,"AE","N",
"A/C Contractor","27655","COLLIN","PENNINGTON MECHANICAL L.L.C.",,,,,"03/07/2027","PENNINGTON, CURTIS S",,,,"COLLIN",,"AC","N",
"A/C Contractor","10960","DALLAS","TRAMMELL CROW COMPANY (GLOBAL SERVICES)",,,,,"10/07/2026","SALCIDO, ANDREW LLOYD",,,,"DALLAS",,"BE","N",
"A/C Contractor","21188","DALLAS","ADVANCED HOME COMFORT INC",,,,,"04/06/2027","RAINEY, CHAD DOUGLAS",,,,"DALLAS",,"BE","N",
"A/C Contractor","9578","TARRANT","WESCO HEATING AND AIR CONDITIONING",,,,,"01/20/2025","MCLELLAND, JAMES WESTLEY",,,,"TARRANT",,"AC","N",
"A/C Contractor","11438","TARRANT","R & B AIR CONDITIONING INC",,,,,"09/12/2026","BRENNAN, ROBERT J",,,,"TARRANT",,"BE","N",
"A/C Contractor","91351","TARRANT","MTS AIR",,,,,"08/28/2026","SCHOECH, ROBERT TRAVIS",,,,"TARRANT",,"AE","N",
"A/C Contractor","24690","JOHNSON","JIM'S A/C & HEATING LLC",,,,,"04/01/2026","THOMAS, JIMMIE DOYLE JR",,,,"JOHNSON",,"BC","N",
"A/C Contractor","5084","TARRANT","HULL AIR CONDITIONING & REFRIGERATION",,,,,"06/27/2027","HULL, LONNY BILL",,,,"TARRANT",,"AC","N",
"A/C Contractor","28079","TARRANT","NO BULL AC",,,,,"12/21/2026","FISHER, ROBERT",,,,"TARRANT",,"BE","N",
"A/C Contractor","23111","ROCKWALL","ELEMENT MECHANICAL",,,,,"01/09/2027","HUDDIN, RYAN STEPHEN",,,,"ROCKWALL",,"AC","N",
"A/C Contractor","81830","TARRANT","TREJO AIR CONDITIONING & HEATING COMPANY",,,,,"07/05/2027","TREJO, MIGUEL A",,,,"TARRANT",,"BE","N",
"A/C Contractor","32680","WISE","JOHN ARY AC",,,,,"08/27/2026","ARY, JOHN PAUL",,,,"WISE",,"BE","N",
"A/C Contractor","16173","ROCKWALL","BRIANS AC & HEAT REPAIR",,,,,"09/23/2026","MEDLIN, BRIAN KEITH",,,,"ROCKWALL",,"AE","N",
"A/C Contractor","20115","TARRANT","NORDAIRE A/C & HEATING COMPANY",,,,,"03/23/2027","NORDIN, THEODORE JOSEPH",,,,"TARRANT",,"BC","N",
"A/C Contractor","75034","ELLIS","RLP MECHANICAL CONTRACTORS LLC",,,,,"08/25/2026","BRUMLEY, DAVID MURREL JR",,,,"ELLIS",,"AC","N",
"A/C Contractor","27187","TARRANT","COVENTRY & GATTIS AIR CONDITIONING INC",,,,,"07/04/2027","TYLER, GREGGORY E",,,,"TARRANT",,"BC","N",
"A/C Contractor","16367","COLLIN","A+ MECHANICAL",,,,,"08/29/2026","DEMMING, GALE GRANT JR",,,,"COLLIN",,"BE","N",
"A/C Contractor","20786","DALLAS","JTJ MECHANICAL LLC",,,,,"03/23/2027","NASH, JOHN T",,,,"DALLAS",,"AC","N",
"A/C Contractor","27817","DENTON","KELLY'S HEATING & AIR CONDITIONING",,,,,"05/21/2027","KELLY, BRADLEY T",,,,"DENTON",,"BE","N",
"A/C Contractor","92005","DALLAS","ELS CLIMATE CONTROL",,,,,"10/07/2026","STROMAN, WILLIE EVANGELIST",,,,"DALLAS",,"AE","N",
"A/C Contractor","59760","ELLIS","JAYBIRD AIR & HEAT",,,,,"05/29/2026","REESE, JAY C",,,,"ELLIS",,"AE","N",
"A/C Contractor","24602","TARRANT","ALLIANCE MECHANICAL SERVICES",,,,,"11/07/2026","MARQUEZ, MANUEL SIMON",,,,"TARRANT",,"AC","N",
"A/C Contractor","11776","DALLAS","MARY KAY COSMETICS INC",,,,,"06/27/2025","BECHTOL, GEORGE WALTER",,,,"DALLAS",,"AC","N",
"A/C Contractor","33264","DALLAS","HONEST REPAIR SERVICE AC & HEATING",,,,,"09/23/2026","TORRES, FAUSTO R",,,,"DALLAS",,"BE","N",
"A/C Contractor","99970","JOHNSON","CHISHOLM TRAIL HEATING AND AIR LLC",,,,,"09/24/2026","FELGAR, THOMAS JOHN",,,,"JOHNSON",,"AC","N",
"A/C Contractor","62929","COLLIN","SERVICE LOGIC AND CONTROLS",,,,,"12/12/2026","ROGERS, KENNETH ALBERT JR",,,,"COLLIN",,"AC","N",
"A/C Contractor","83758","DENTON","DISCOUNT HVAC, LLC DBA DISCOUNT HVAC",,,,,"10/03/2026","LEE, SEUNG EUN",,,,"DENTON",,"AE","N",
"A/C Contractor","22280","DALLAS","AMIGO AIR",,,,,"03/09/2027","TREVINO, ADAM",,,,"DALLAS",,"BE","N",
"A/C Contractor","18955","TARRANT","RONNIE HOOKS SERVICES",,,,,"01/05/2027","HOOKS, RONALD E",,,,"TARRANT",,"BC","N",
"A/C Contractor","51908","TARRANT","SASZ, BRIAN K",,,,,"03/21/2027","SASZ, BRIAN K",,,,"TARRANT",,"AC","N",
"A/C Contractor","20624","COLLIN","J.R. PHOENIX SERVICE COMPANY, LLC",,,,,"05/30/2027","CHAIREZ, VICTOR",,,,"COLLIN",,"BE","N",
"A/C Contractor","23802","TARRANT","TRANE U.S. INC DBA TRANE",,,,,"02/25/2027","HERD, BERNIE L JR",,,,"TARRANT",,"AC","N",
"A/C Contractor","66459","TARRANT","SOURCE MECHANICAL",,,,,"07/03/2027","ANDRADE, RAFAEL JR",,,,"TARRANT",,"BE","N",
"A/C Contractor","31734","COLLIN","YOUN HVAC & R",,,,,"07/22/2026","KOO, YOUN C",,,,"COLLIN",,"AC","N",
"A/C Contractor","1943","DENTON","METROCREST AIR CONDITIONING",,,,,"10/19/2026","MALTSBERGER, DAVID ZANE",,,,"DENTON",,"AC","N",
"A/C Contractor","24974","DALLAS","TAC AMERICAS INC",,,,,"06/30/2027","COWART, JAMES P",,,,"DALLAS",,"AC","N",
"A/C Contractor","39869","WISE","DAVIS AIR",,,,,"12/31/2026","DAVIS, GARY R",,,,"WISE",,"BE","N",
"A/C Contractor","26496","DALLAS","ALLTEMP MECHANICAL",,,,,"05/16/2027","HAJBANDEH, PEZHMAN",,,,"DALLAS",,"BC","N",
"A/C Contractor","88553","COLLIN","GA SERVICES",,,,,"01/15/2027","WRIGHT, MICHAEL D",,,,"COLLIN",,"AE","N",
"A/C Contractor","41083","DALLAS","ACCELERATED MECHANICAL SERVICES LLC",,,,,"10/02/2026","JOHNSON, MATTHEW D",,,,"DALLAS",,"AC","N",
"A/C Contractor","23272","DENTON","DEBORAH L WIESE",,,,,"11/20/2026","WIESE, DEBORAH L",,,,"DENTON",,"AC","N",
"A/C Contractor","16588","KAUFMAN","MALONE AIR CONDITIONING COMPANY",,,,,"11/27/2026","MALONE, CHARLES W",,,,"KAUFMAN",,"BE","N",
"A/C Contractor","99488","DALLAS","AIR-AN HVAC&R MECHANICAL SERVICES LLC",,,,,"08/30/2026","DAVIS, AARON LEMONT JR",,,,"DALLAS",,"AC","N",
"A/C Contractor","95203","COLLIN","EASTERN STAR GROUP LLC",,,,,"03/01/2027","PENAREE, CHAWANAT",,,,"COLLIN",,"AE","N",
"A/C Contractor","85212","ROCKWALL","HONEA AIR LLC",,,,,"12/21/2026","HONEA, ADAM NEWTON",,,,"ROCKWALL",,"AE","N",
"A/C Contractor","30113","DALLAS","CAIN'S SERVICE",,,,,"05/18/2026","CAIN, JOSEPH W",,,,"DALLAS",,"BC","N",
"A/C Contractor","50637","DALLAS","OCAMPO'S HEATING & AIR CONDITIONING",,,,,"03/13/2027","OCAMPO, ISIDRO G",,,,"DALLAS",,"BE","N",
"A/C Contractor","17318","WISE","AC/E AIR CONDITIONING & ELECTRICAL",,,,,"08/06/2025","CALDWELL, DOUGLAS FRANKLIN",,,,"WISE",,"BC","N",
"A/C Contractor","28636","TARRANT","A-11 AIR CONDITIONING",,,,,"05/07/2027","AGUILAR, CARLOS O",,,,"TARRANT",,"BC","N",
"A/C Contractor","97683","DALLAS","DUARTE'S H.V.A.C SERVICES",,,,,"06/03/2027","DUARTE, VICTOR M",,,,"DALLAS",,"BE","N",
"A/C Contractor","20730","ELLIS","BLUE LIGHTNING HVAC AND REFRIGERATION",,,,,"09/29/2026","MATTHEWS, LARRY",,,,"ELLIS",,"BC","N",
"A/C Contractor","27289","TARRANT","UNIFIED CONSTRUCTION SOLUTIONS INC",,,,,"08/15/2027","SCHNEIDER, JAMES D",,,,"TARRANT",,"AC","N",
"A/C Contractor","15585","DALLAS","PRO AIR SERVICE COMPANY",,,,,"07/21/2026","BENCH, TERRY LEE",,,,"DALLAS",,"BE","N",
"A/C Contractor","54733","DALLAS","LAVENDER AC & HEATING LLC",,,,,"04/28/2027","LAVENDER, DAVID A",,,,"DALLAS",,"BE","N",
"A/C Contractor","19506","DALLAS","FRYMIRE HOME SERVICES LLC",,,,,"06/19/2027","WEEKS, KELLY S",,,,"DALLAS",,"BC","N",
"A/C Contractor","96294","ELLIS","BRYCO HVAC SERVICE LLC",,,,,"04/10/2027","COCKRAN, BRYANT KEITH",,,,"ELLIS",,"AE","N",
"A/C Contractor","9483","COLLIN","BOLES HEATING & AIR CONDITIONING",,,,,"03/05/2027","BOLES, MAC ARTHUR",,,,"COLLIN",,"AC","Y",
"A/C Contractor","12267","ELLIS","TEAM MECHANICAL",,,,,"09/28/2026","KEMP, WALTER WALDO",,,,"ELLIS",,"BE","N",
"A/C Contractor","99328","DALLAS","UNITEDONE MECHANICAL",,,,,"09/02/2026","LUEVANO, JUAN L SR",,,,"DALLAS",,"AE","N",
"A/C Contractor","27576","DALLAS","DELANEY ENTERPRISE INC",,,,,"02/08/2027","DELANEY, STEVIE G",,,,"DALLAS",,"BE","N",
"A/C Contractor","26312","DALLAS","TEXAS AIRSYSTEMS LLC",,,,,"03/22/2027","MEPPEN, JOHN A JR",,,,"DALLAS",,"AC","N",
"A/C Contractor","56157","TARRANT","ELLIOTT REFRIGERATION AND HVAC",,,,,"11/21/2026","ELLIOTT, RICHARD E",,,,"TARRANT",,"AC","N",
"A/C Contractor","8702","DENTON","PARKWAY CONSTRUCTON & ASSOCIATES INC",,,,,"11/12/2026","MABRAY, JERRY WAYNE",,,,"DENTON",,"AE","N",
"A/C Contractor","53898","ROCKWALL","WILLIAM A WEIR",,,,,"12/01/2026","WEIR, WILLIAM ANDREW",,,,"ROCKWALL",,"AC","N",
"A/C Contractor","36309","TARRANT","AIR817 INC",,,,,"10/11/2026","FRENCH, MICHAEL A",,,,"TARRANT",,"AC","N",
"A/C Contractor","17555","DENTON","PRIME REFRIGERATION",,,,,"12/16/2026","MEADOR, DALE",,,,"DENTON",,"AC","N",
"A/C Contractor","21294","TARRANT","THOMAS DANIEL COOMES II",,,,,"11/01/2026","COOMES, THOMAS DANIEL II",,,,"TARRANT",,"AE","N",
"A/C Contractor","12484","TARRANT","HUNTER, JERRY ALLEN",,,,,"09/28/2026","HUNTER, JERRY ALLEN",,,,"TARRANT",,"BC","N",
"A/C Contractor","97680","DALLAS","TAM MAINTENANCE INC",,,,,"12/02/2026","ALBA, JOHN JR",,,,"DALLAS",,"BE","N",
"A/C Contractor","23313","DALLAS","MVA A/C & HEATING",,,,,"07/30/2027","SALINAS, JESUS GARCIA",,,,"DALLAS",,"BE","N",
"A/C Contractor","8638","PARKER","SIMPSON, LARRY DALE",,,,,"09/22/2026","SIMPSON, LARRY DALE",,,,"PARKER",,"BC","N",
"A/C Contractor","3032","KAUFMAN","CRANDALL CONSTRUCTION",,,,,"03/23/2027","BISHOP, WILLARD JOSEPH",,,,"KAUFMAN",,"AC","N",
"A/C Contractor","42469","JOHNSON","CLAY SCOTT AIR CONDTIONING",,,,,"11/14/2026","SCOTT, WESLEY C",,,,"JOHNSON",,"AE","N",
"A/C Contractor","21327","DENTON","LIFETIME AIR LLC",,,,,"07/28/2026","PERSONS, RANDY",,,,"DENTON",,"BE","N",
"A/C Contractor","16863","JOHNSON","J A M S ENVIRONMENTAL",,,,,"09/25/2026","HUNTER, STEVEN S",,,,"JOHNSON",,"BE","N",
"A/C Contractor","2791","DENTON","OTTO HEAT & AIR",,,,,"11/04/2026","OTTO, JAMES GEORGE",,,,"DENTON",,"BC","N",
"A/C Contractor","22927","TARRANT","ARCTIC TECH LLC",,,,,"03/12/2027","MILLER, ROBERT DARRYL",,,,"TARRANT",,"AE","N",
"A/C Contractor","12503","TARRANT","ROGER KENYON",,,,,"03/23/2027","KENYON, ROGER",,,,"TARRANT",,"BE","N",
"A/C Contractor","24159","COLLIN","GENIE CONSTRUCTION LLC",,,,,"06/24/2027","LI, MICHAEL MINCHIOU",,,,"COLLIN",,"BC","N",
"A/C Contractor","73709","TARRANT","MEZGO HEATING AND AIR",,,,,"06/29/2027","GOMEZ, LUIS M",,,,"TARRANT",,"BE","N",
"A/C Contractor","39565","DALLAS","RETAIL DISPENSE SOLUTIONS LLC",,,,,"03/24/2027","MCCLOSKEY, JONATHAN",,,,"DALLAS",,"AC","N",
"A/C Contractor","17688","TARRANT","GOLDEN TRIANGLE A/C & HEATING CO INC",,,,,"07/24/2026","IRVIN, RODGER",,,,"TARRANT",,"BE","N",
"A/C Contractor","64278","JOHNSON","ALLEGIANCE AIR",,,,,"02/28/2027","ROBERTS, MICHAEL DONNAVAN",,,,"JOHNSON",,"BC","N",
"A/C Contractor","12759","DALLAS","R ALEXANDER SERVICES",,,,,"10/21/2026","ALEXANDER, RAYMOND",,,,"DALLAS",,"BR","N",
"A/C Contractor","40687","DENTON","COMPLETE MAINTENANCE SOLUTIONS",,,,,"08/17/2026","WOOTEN, BRET J",,,,"DENTON",,"BC","N",
"A/C Contractor","19108","DALLAS","J & E SERVICES",,,,,"01/22/2027","MARTINEZ, JOE",,,,"DALLAS",,"AR","N",
"A/C Contractor","12363","TARRANT","ABDEE'S APPLIANCE & A/C COMPANY",,,,,"07/17/2026","MOLAVI, ABDEE",,,,"TARRANT",,"BE","N",
"A/C Contractor","28056","HUNT","MCG DEVELOPMENT LLC DBA 1-800- PLUMBER +",,,,,"09/24/2026","GAO, RUI XIANG",,,,"HUNT",,"AC","N",
"A/C Contractor","19219","DALLAS","FIRSTCALL MECHANICAL GROUP, LLC",,,,,"09/20/2025","FANNING, MARK",,,,"DALLAS",,"BE","N",
"A/C Contractor","12274","DALLAS","TEXAS AIR CONDITIONING & HEATING CO",,,,,"06/09/2027","HEINE, MARK A",,,,"DALLAS",,"BE","N",
"A/C Contractor","29453","DALLAS","FREEDOM HEATING & AIR LLC",,,,,"01/17/2027","GOMEZ, HECTOR S",,,,"DALLAS",,"AC","N",
"A/C Contractor","38118","DENTON","CLOWERS MECHANICAL SERVICES",,,,,"10/28/2026","CLOWERS, MICHAEL J",,,,"DENTON",,"AE","N",
"A/C Contractor","20502","TARRANT","RELENTLESS HOME SERVICES LLC",,,,,"04/13/2027","CARR, RICHARD T",,,,"TARRANT",,"AC","N",
"A/C Contractor","17515","DENTON","ALLEN HEATING AND AIR CONDITIONING",,,,,"12/12/2026","BARTLETT, PAUL ANDREW",,,,"DENTON",,"BC","N",
"A/C Contractor","39121","DALLAS","CONTINUOUS A/C & HEATING",,,,,"06/15/2027","MARTINEZ, JOSE",,,,"DALLAS",,"BE","N",
"A/C Contractor","18483","TARRANT","NOAH'S A/C SERVICE",,,,,"06/24/2027","QUIJAS, NOAH",,,,"TARRANT",,"BE","N",
"A/C Contractor","17117","DENTON","CLIMATE SYSTEMS SERVICES",,,,,"07/25/2026","MCKAY, RICHARD D",,,,"DENTON",,"BC","N",
"A/C Contractor","72490","DALLAS","RMC HEATING AND COOLING",,,,,"08/04/2026","CAVANAGH, THOMAS MARTIN",,,,"DALLAS",,"AE","N",
"A/C Contractor","92392","DENTON","RIGHT WAY HEATING & AIR LLC",,,,,"08/18/2026","HANEY, JEREMY TERRILL",,,,"DENTON",,"AE","N",
"A/C Contractor","13923","DALLAS","MARY KAY COSMETICS",,,,,"10/19/2026","DOUGHERTY, JOHN E III",,,,"DALLAS",,"AC","N",
"A/C Contractor","97998","DALLAS","SENSIBLE AIR CONDITIONING",,,,,"06/24/2027","CHAVEZ, JUAN LUIS",,,,"DALLAS",,"AC","N",
"A/C Contractor","9911","PARKER","KNK HEATING & AIR CONDITIONING",,,,,"01/08/2027","KANTOSKY, RICHARD JOSEPH",,,,"PARKER",,"BE","N",
"A/C Contractor","26285","PARKER","M & M AC SERVICES LLC",,,,,"01/20/2027","MORRIS, WILLIAM H",,,,"PARKER",,"BE","N",
"A/C Contractor","11931","DENTON","TOP DOG ENGINEERING",,,,,"12/16/2026","FISCHER, SHANE LEO",,,,"DENTON",,"AC","N",
"A/C Contractor","22036","TARRANT","WOOD'S MECHANICAL SERVICE",,,,,"08/06/2026","WOOD, ROBERT E",,,,"TARRANT",,"BC","N",
"A/C Contractor","98757","DALLAS","BLUEZONE HEATING & AIR",,,,,"04/06/2027","CRITZ, STEPHEN LYLE",,,,"DALLAS",,"BE","N",
"A/C Contractor","81191","TARRANT","1ST CLASS COMFORT SOLUTIONS LLC",,,,,"06/23/2027","BALLARD, DONALD ERIC JR",,,,"TARRANT",,"AE","N",
"A/C Contractor","26786","TARRANT","AIR COND INNOVATIVE SOLUTIONS INC",,,,,"11/29/2026","NICHOLS, MIKE",,,,"TARRANT",,"AC","N",
"A/C Contractor","22222","DALLAS","GENE A ROGERS",,,,,"09/20/2026","ROGERS, GENE A",,,,"DALLAS",,"AE","N",
"A/C Contractor","28929","TARRANT","ROBERT & SONS HVAC SERVICES LLC",,,,,"08/02/2026","BELCHER, ROBERT M III",,,,"TARRANT",,"AE","N",
"A/C Contractor","21594","DALLAS","AIRCO SERVICE COMPANY",,,,,"08/18/2026","FLYNN, DARWYN",,,,"DALLAS",,"BC","N",
"A/C Contractor","14753","TARRANT","FREEDOM MECHANICAL",,,,,"04/23/2027","PADERMOS, ROBIN B",,,,"TARRANT",,"BE","N",
"A/C Contractor","19813","DALLAS","BEST AIR SERVICES",,,,,"08/07/2026","LAM, CUONG CHI",,,,"DALLAS",,"BE","N",
"A/C Contractor","93853","JOHNSON","AAA AIRCO AIR CONDITIONING & HEATING",,,,,"01/04/2027","MOORE, ERRIEL FORREST",,,,"JOHNSON",,"BC","N",
"A/C Contractor","48137","DALLAS","GLOBUS MANAGEMENT GROUP LLC",,,,,"06/09/2026","HUBBARD, RICHARD L JR",,,,"DALLAS",,"BE","N",
"A/C Contractor","29620","DALLAS","HERBERT MELGAR",,,,,"03/30/2027","MELGAR, HERBERT A",,,,"DALLAS",,"AC","N",
"A/C Contractor","95095","COLLIN","HESSE AIR CONDITIONING AND HEATING",,,,,"02/26/2027","HESSE, STEVEN",,,,"COLLIN",,"BC","N",
"A/C Contractor","1714","DALLAS","C & J ENGINEERING INC",,,,,"06/01/2027","HARTON, JAMES ERSKINE",,,,"DALLAS",,"BC","N",
"A/C Contractor","26410","DENTON","NORTH POLE AIR",,,,,"04/06/2027","GIANG, JASON DUC",,,,"DENTON",,"BC","N",
"A/C Contractor","17825","PARKER","GTP CONSULTING LLC",,,,,"08/11/2026","PRELLWITZ, MARTY L",,,,"PARKER",,"AE","N",
"A/C Contractor","65598","COLLIN","AIR TECH SOLUTIONS",,,,,"07/28/2026","GILBREATH, LOUIS E III",,,,"COLLIN",,"BE","N",
"A/C Contractor","14800","TARRANT","HOLLYWOOD HVACR CO",,,,,"12/06/2026","NGUYEN, HUY DUC",,,,"TARRANT",,"AC","N",
"A/C Contractor","98971","TARRANT","PUTMAN SERVICES LLC",,,,,"07/26/2027","PUTMAN, JAMES MICHAEL",,,,"TARRANT",,"AC","N",
"A/C Contractor","8312","DALLAS","ALLIED PLUMBING,HEATING & A/C",,,,,"10/30/2026","MATHEIDAS, RUSSELL DAVID",,,,"DALLAS",,"BE","N",
"A/C Contractor","42101","TARRANT","SUMMERLAST SERVICES",,,,,"11/05/2026","MOYA, ANTONIO",,,,"TARRANT",,"BE","N",
"A/C Contractor","17361","TARRANT","GRAY HEAT AND AIR",,,,,"09/04/2026","GRAY, LARRY DEAN",,,,"TARRANT",,"BE","N",
"A/C Contractor","35914","DALLAS","LE SERVICES AIR CONDITIONING AND HEATING",,,,,"02/17/2027","LE, THO P",,,,"DALLAS",,"BE","N",
"A/C Contractor","26232","COLLIN","VESELKA ENVIRONMENTAL",,,,,"12/08/2026","VESELKA, VINCE G",,,,"COLLIN",,"AE","N",
"A/C Contractor","5255","HUNT","DUNCAN ELECTRICAL CONTRACTORS INC",,,,,"02/19/2027","DUNCAN, SAMMY CRAIG",,,,"HUNT",,"BE","N",
"A/C Contractor","29351","COLLIN","WHITE MECHANICAL LLC",,,,,"12/08/2026","WHITE, DAVID W",,,,"COLLIN",,"AC","N",
"A/C Contractor","27843","DENTON","BE ONE AC & REFRIGERATION",,,,,"05/27/2027","PARK, TAE KEUN",,,,"DENTON",,"BE","N",
"A/C Contractor","132","ELLIS","WOLVERTON COMPANY INC",,,,,"10/20/2026","WOLVERTON, DOUGLAS KEITH",,,,"ELLIS",,"AE","N",
